,Title,Images,Summary,Aurthor,Category,ID
36,Sitting in a Rowboat Throwing Marbles at a Battleship,http://ecx.images-amazon.com/images/I/41yNdTLRyAL.jpg,"An epidemic of addiction to pornography and compulsive sexual behavior is wiping out individuals, marriages and families! It has become clear that Latter-day Saints are not immune. Men, women and children of the LDS faith are finding, as Elder Neal A. Maxwell observed, that the chains of pornography do not easily let go of their victims. Fear, shame and humiliation prevent so many addicts from getting the help they need. Instead, they keep praying and reading their scriptures and hoping that Heavenly Father will just make this whole thing go away. In the meantime, years pass and the problem grows worse, not better. Despair is abundant; hope is scarce.   But this isn't how it has to be!  exclaims Andrew Pipanne, a Latter-day Saint and recovering sex and pornography addict.  Recovery from addiction is not only possible, but it's also a wonderful experience!   Sitting in a Rowboat Throwing Marbles at a Battleship  is a collection of essays written by Andrew to help other LDS addicts, spouses, counselors and priesthood leaders understand exactly what is necessary for that recovery experience to take place.  Drawing on events from his own life, Andrew explains with rare insight how he and many other Mormons finally figured out what was keeping them from overcoming their  little porn problem.  He presents a simple way of understanding what we're really dealing with in the now classic essay  The ABCs of Pornography Addiction.  In  The Silent Seventy Percent,  Andrew discusses why secrecy and isolation are suffocating so many Mormons as they desperately try to overcome their addiction on their own.   A Letter to LDS Wives About Pornography Addiction  has also become a classic essay, helping thousands of Mormon women come to understand and accept that they didn't cause this problem in their husbands, they can't control it and they can't cure it. Through this book and the related LDS-focused recovery website, RowboatAndMarbles.org, these women are finding not only a greater understanding of the problem of pornography addiction, but they are also becoming empowered with the knowledge that they don't have to live with it and the insanity it causes in their families.   Sitting in a Rowboat...  is full of hope but it is also full of reality, so it contains a lot of ideas that may be difficult for some Latter-day Saints (and others) to hear.  Addiction distorts our view of reality,  explains Andrew.  Addiction causes us to twist and manipulate basic Gospel truths so that we eventually come to believe--falsely--that we really are following the Savior and that our compulsive sexual behavior including porn consumption is nothing more than a tiny bump in the road--no big deal.  As one reader put it,   Sitting in a Rowboat...  takes away the wiggle room that keeps so many Mormons in denial about their addiction and prevents them from getting the help they need.   In some of the most touching essays in the book, Andrew explains what recovery from addiction actually feels like and how that recovery changes the way we think, act and feel.  For years,  says Andrew,  I kept telling myself that I was done with the porn--for real this time--only to fall back into it days, weeks or months later. It wasn't until I started working an honest recovery program with a sponsor, with other recovering addicts and with an effective 12 Step program that I finally starting feeling a genuine change in my heart and mind. I finally knew why I no longer acted out with my drug and I knew that I now had the tools I needed never to act out again!   The message that Andrew shouts from the rooftops is that recovery from porn and sexual addiction is possible and wonderful!",Andrew Pipanne,"Health, Fitness & Dieting",098586690X
37,30 Perfect Popcorn Recipes : How to Make Sweet & Savory Gourmet Popcorn at Home (Volume 1),http://ecx.images-amazon.com/images/I/51hDyzmR6eL.jpg,"Popcorn has probably been around longer than any other snack food on the planet. It has a rich history, dating back to before civilization and taking part in a multitude of events we celebrate every year. It’s the most popular snack food around the world, and the second most popular snack in America (falling just behind potato chips). Popcorn can be found all over the country, at movie theaters, carnivals, and most people’s kitchens or pantries. It is a common misconception that popcorn is an unhealthy snack. The reason some people avoid popcorn is because they don’t understand the real culprit! Behind its supposedly unhealthy status, are the seasonings and additives, often added to commercially packaged products to liven up the bland natural flavor and to lengthen it’s shelf life. The popcorn itself is a wholegrain, and these can help prevent cancer and lower the risk of heart disease, while also supplying healthy nutrients that support our vision. There are many different methods to create popcorn, but the basic principle stays the same. All you have to do is make the kernels hot enough to heat the moisture contained naturally inside, and turn that into steam. The steam creates pressure from inside the hard shell casing and before you know it, POP! - the kernel is turned inside out and is ready to be consumed. As long as you can generate heat and have some kernels on hand, you can make popcorn! Enough of the history, what about the recipes? I’ve gathered 30 of the finest popcorn recipes from around the world for your snacking pleasure, and have tried to keep them free from artificial sweeteners, preservatives or other nasty additives wherever possible. I’ve specified 9 cups of popped corn for most recipes, as that gives 3 generous cups per serving - you can have as many or as few servings as you fancy, but keep an eye on the calories! For your convenience, I’ve also included nutritional data from the USDA for each recipe - that’s the U.S. Department of Agriculture and not the United Square Dancers of America! My preference for both flavor and health reasons, is freshly air-popped popcorn - so I have used that kind for all of these recipes. Everything in this book can be made with kernels you have freshly popped, or if you are in a hurry (or feeling lazy!), then you can always use the plain store bought pre-popped variety - just make sure you check the packaging for artificial nasties! Most of the ingredients for these recipes can be found at your local grocery store or deli, but if you get stuck, then the slightly more unusual ones can also be bought online via this special page on my website - www.greengourmetbooks.com/ing Enjoy preparing and sharing! Lori x P.S. - If 30 recipes isn’t quite enough for you, then check the back of the book to find out how to get another 12, absolutely free!",Lori Jane Stewart,"Cookbooks, Food & Wine",1480078972
38,La huerta de manzanas / The Apple Orchard (Una visita a... / A Visit to...) (Multilingual Edition),http://ecx.images-amazon.com/images/I/51D5mXSkVYL.jpg,Simple text and photos present a visit to an apple orchard in both English and Spanish.,Patricia J. Murphy,Children's Books,1429611944
39,Neurotox '91: Molecular Basis of Drug & Pesticide Action,http://ecx.images-amazon.com/images/I/41GtyzesRvL.jpg,"NEUROTOX '91 was the fourth meeting in a series which started in 1979. The '91 meeting, like its predecessors, was held under the patronage of the Society of Chemical Industry, and despite the unfortunate proximity of hostilities in the Arabian Gulf attracted a truly international mix of industrial and academic pesticide scientists. This volume contains the text of invited papers read at the meeting and presents the dramatic developments which so excited those who attended. The potential of molecular neurobiology for gaining knowledge of target sites for neurotoxicants is now starting to be realised. These studies, in conjunction with developments in molecular imaging and modelling, provide new oppor­ tunities for chemists and biologists to gain insights into molecular interactions underlying intoxication. Molecular techniques have also enabled rapid ad­ vances on a second front, where the cloning of genes controlling pesticide resistance should have a profound impact on our understanding of this commercially important problem. The understanding of molecular events will undoubtedly be vital in future developments in chemical control of pests; however, the value of understand­ ing the way in which the nervous system controls behaviour and how behaviour can be modified by chemicals of bath synthetic and natural origins was highlighted. Natural products and their synthetic analogues have continued to provide new and interesting molecules which are already proving their worth as tools for the neuroscientist and may offer leads for commercial synthesis.",,Medical Books,1851667466
40,"Fundamental Mechanics of Fluids, Fourth Edition",http://ecx.images-amazon.com/images/I/41EwsW9JOZL.jpg,"  Fundamental Mechanics of Fluids, Fourth Edition  addresses the need for an introductory text that focuses on the basics of fluid mechanics―before concentrating on specialized areas such as ideal-fluid flow and boundary-layer theory. Filling that void for both students and professionals working in different branches of engineering, this versatile instructional resource comprises five flexible, self-contained sections:       Governing Equations   deals with the derivation of the basic conservation laws, flow kinematics, and some basic theorems of fluid mechanics.      Ideal-Fluid Flow   covers two- and three-dimensional potential flows and surface waves.      Viscous Flows of Incompressible Fluids   discusses exact solutions, low-Reynolds-number approximations, boundary-layer theory, and buoyancy-driven flows.      Compressible Flow of Inviscid Fluids   addresses shockwaves as well as one- and multidimensional flows.      Methods of Mathematical Analysis   summarizes some commonly used analysis techniques. Additional appendices offer a synopsis of vectors, tensors, Fourier series, thermodynamics, and the governing equations in the common coordinate systems.    The book identifies the phenomena associated with the various properties of compressible, viscous fluids in unsteady, three-dimensional flow situations. It provides techniques for solving specific types of fluid-flow problems, and it covers the derivation of the basic equations governing the laminar flow of Newtonian fluids, first assessing general situations and then shifting focus to more specific scenarios.    The author illustrates the process of finding solutions to the governing equations. In the process, he reveals both the mathematical methodology and physical phenomena involved in each category of flow situation, which include ideal, viscous, and compressible fluids. This categorization enables a clear explanation of the different solution methods and the basis for the various physical consequences of fluid properties and flow characteristics. Armed with this new understanding, readers can then apply the appropriate equation results to deal with the particular circumstances of their own work. ",I.G. Currie,Engineering & Transportation,1439874603
41,Wicked Sacrifice (Books 4 and 5),http://ecx.images-amazon.com/images/I/515yo9DxBmL.jpg,"Bound Hearts - Wicked Intent By Lora Leigh Control has meant everything to Tally Raines. Control of the office she ran as Jesse Wyman's secretary, and now control of Lucian Conover's office as well. But Lucian isn't content to be controlled by his fiery secretary. As a matter of fact, Lucian thinks she needs to loosen up and let the sexy, sensual woman hiding beneath her cool exterior free. And he will dare her to do just that… With a little help. Bound Hearts - Sacrifice By Lora Leigh Book five of the Bound Hearts series Kimberly has run from Jared for a year now, sensing the weakness he could be to her future. But she never expected the sacrifice he would make for her. One that will rock her soul, and destroy the very foundations of all her beliefs. Her sexuality, her heart, and all she's fought for in the last six years will be tested when an assignment takes her to Jared's farm, and into his bed. There she will learn the true meaning of hunger, of love…as well as the deception and the lies that have governed her life for so long. Anything worth having is worth sacrificing for. Kimberly is about to find out if she can pay the price, and risk not only the inheritance that should be hers, but also her heart to the one man who can still the fires that rage in her soul.",Lora Leigh,Romance,1419953966
42,How and When to Tell Your Kids About Sex: A Lifelong Approach to Shaping Your Child's Sexual Character (God's Design for Sex),http://ecx.images-amazon.com/images/I/51cVo05fqkL.jpg,"This book will help you establish a biblical view of sexuality for your kids. Learn how and when to talk with your children about sexual curiosity, physical changes of puberty, dating, chastity, and more.",Stan Jones,Christian Books & Bibles,160006017X
43,"One & the Same: Connecting Fibromyalgia, Chronic Fatigue Syndrome, Candidiasis & Immune System Dysfunction",http://ecx.images-amazon.com/images/I/41i-J-1OwSL.jpg,"Academic and inspirational study connects Fibromyalgia with Chronic Fatigue Syndrome, Candidiasis and Immune Dysfunction using empirical evidence. Teresa describes traditional and non-traditional treatments, most of which she has personally tried.",Teresa L. Eakman,"Health, Fitness & Dieting",1412003474
44,"Popular Mechanics The Amazing Weapons That Never Were: Robots, Flying Tanks & Other Machines of War",http://ecx.images-amazon.com/images/I/51Hu9pQ505L.jpg," Between 1910 and 1970, scientists and military experts made hundreds of predictions in  Popular Mechanics  about the future of warfare. Some of those prophecies were downright nuts, while others veered eerily close to reality. This collection of vintage articles, with their stunning original art, will spark the imagination of every military buff, retrophile, and futurist. And the jacket unfolds into an amazing 24  x 19  poster of fantastic machines, blasters, and flying tanks. Astrophysics professor, science-fiction author, and NASA advisor Gregory Benford provides an introduction to every chapter.",Gregory Benford,History,158816862X
45,Rice Cooker Recipes: 50+ Rice Cooker Recipes - Quick & Easy for a Healthy Way of Life (Slow cooker recipes - rice cooker - recipes),http://ecx.images-amazon.com/images/I/51cmIePTKgL.jpg," RICE - RICE - BABY!     50+ DELICIOUS RICE COOKER RECIPES  100% vegan approved!    If you are searching for quick and easy, all while eating as healthy as possible, then you have found the right cookbook my friends.    It does not get any easier than a rice cooker.   And it does not get any healthier than vegan recipes.    Check out some of these delicious recipes inside of this cookbook:    *Corn and Peas Rice   *Red Beans Rice   *Kale Pasta   *Yummy Oatmeal   *Spicy Pilaf with sprouts   *Rice Cooker Sushi   *Rose flavored rice pudding   *Veggie rice   *Black bean soup   *Yellow dal   *Brown rice with chickpeas   *Banana coconut sticky desert   *Couscous with kale and potatoes   *Quinoa with almonds and corn   *Mushroom and black bean rice   *Coconut scented rice with roasted almonds   *Peanut Rice with bell peppers   *Lentils kale and Miso soup   *Apple and raisin porridge rice   *Creamy mushroom soup   *Spicy brown rice wraps   *Spicy and sour sweet potatoes   *Dal Sag (lentil curry)   *Rice chili stew   *Date and Oatmeal porridge with almonds   *Low-fat Spanish risotto   *Cashew flavored Cherry rice   *Mexican red lentil stew   *Chinese stir fried rice   *Hawaiian rice   *Leek and potato soup   *Spicy vegetable curry   *Noodle soup   *Lemon flavored vermicelli   *Lentil sandwich with barbecue sauce   *Yummy vegetable momos   *Cilantro and lime rice   *Tangy tomato pasta   *Pumpkin and baby spinach risotto   *Wild mushroom rice   *Breakfast burritos   *Potato wraps   *Chipotle tacos   *Black eyed peas   *Potato sandwich with mint paste   *Bottle gourd with honey and nuts   *Peas Pilaf   *Taco Soup   *Sweet coconut dumplings   *Quinoa with almonds, cranberries and apricots      These recipes are 100% vegan approved!    But this does not mean that vegetarians, and even meat eaters will not enjoy them as well. They are everybody approved.   Eating healthy does not have to be a long tedious task. Cooking your food in a rice cooker is the simplest way to cook BAR NONE!    Scroll on back up and over to the right to the orange buy now button and order your copy today.     I hope that you enjoy the recipes and I look forward to conversing with you on the inside! Carpe Diem Dexter ",Dexter Poin,"Cookbooks, Food & Wine",1500896195
46,Same-Sex Marriage and Religious Liberty: Emerging Conflicts,http://ecx.images-amazon.com/images/I/518SWrMaF6L.jpg,"Same-Sex Marriage and Religious Liberty explores the religious freedom implications of defining marriage to include same-sex couples. It represents the only comprehensive, scholarly appraisal to date of the church-state conflicts virtually certain to arise from the legal recognition of same-sex marriage. It explores two principal questions. First, exactly what kind of religious freedom conflicts are likely to emerge if society embraces same-sex marriage? A redefinition of marriage would impact a host of laws where marital status affects legal rights_in housing, employment, health-care, education, public accommodations, and property, in addition to family law. These laws, in turn, regulate a host of religious institutions_schools, hospitals, and social service providers, to name a few_that often embrace a different definition of marriage. As a result, church-state conflicts will follow. This volume anticipates where and how these manifold disputes will arise. Second, how might these conflicts be resolved? If the disputes spark litigation under the Free Speech, Free Exercise, or Establishment Clauses of the First Amendment, who will prevail and why? When, if ever, should claims of religious liberty prevail over claims of sexual liberty? Drawing on experience in analogous areas of law, the volume explores whether it is possible to avoid these constitutional conflicts by statutory accommodation, or by separating religious marriage from civil marriage.",,Law,074256326X
47,The Why of the Buy: Consumer Behavior and Fashion Marketing,http://ecx.images-amazon.com/images/I/51dzB7dcaIL.jpg," How do consumers decide what to buy for their wardrobes and their homes? What drives them to choose one brand over another? This current textbook tells all about how consumer behavior theory and practice is applied in the fashion industry.  The second edition of  Why of the Buy: Consumer Behavior and Fashion Marketing  updates its presentation of how psychology, sociology, and culture influences consumers' fashion purchase decisions-and ultimately impacts the success of global fashion enterprises. The unifying element of this text is its presentation of current knowledge of consumer behavior applied to the fields of fashion and design in an enthusiastic and relevant way that will attract and engage students.   New to this Edition   ~ New Chapter 11, Social Media and the Fashion Consumer, explores how the relationship between marketers, retailers, and consumers is aided by social media and the internet ~ Added discussion of Omnichannel retailing in Chapter 13 ~ Expanded and updated coverage of technology, ethics, and social responsibility  ~  What Do I Need to Know About …?  list the objectives of each chapter and provide a roadmap for study ~ More than 20% new photos all in full color   Chapter Features  ~  Let's Talk  features throughout each chapter encourage students to relate the topic to their experiences and observations ~  Case in Point  and  Point of View  box features in each chapter offer real life case studies or current viewpoints on relevant consumer behavior and marketing topics ~ Chapter mini-projects offer an opportunity to apply chapter concepts to realistic fashion settings ~ Summaries, Key Terms, Questions for Review and Activities ",Patricia Mink Rath,Business & Money,1609018982
48,Future's Orphans,http://ecx.images-amazon.com/images/I/41hgS6vlVsL.jpg," n an uncertain future, the truth can get you killed. Cassidy Nolan is a drug addicted journalist, disgraced after releasing one of the most iconic images of the new millennium. Fourteen years later, the world teeters on the verge of ecological collapse. A chance encounter with a sociopathic street kid will send her on a journey into chaos that may lead her to uncovering the biggest story of her career. Pursued by a burnt out ex-military contractor determined to earn his reward, there are no guarantees that she will live long enough to reveal what she has found. Blade Runner meets Mad Max in this action packed near-future thriller from the author of Frame.",A K Alliss,Science Fiction & Fantasy,1516952839
49,Total Penguins: The Definitive Encyclopedia of the Pittsburgh Penguins,http://ecx.images-amazon.com/images/I/51YTQDmHJoL.jpg,"Total Penguins is the definitive resource on the Pittsburgh Penguins, one of the NHL s most popular and successful franchises. Featuring author Rick Buker s exhaustive research and hundreds of exclusive photographs courtesy of the Pittsburgh Post-Gazette, Total Penguins traces the franchise s history from its birth as an expansion team in 1967 to its flirtation with bankruptcy in the 1970s to the arrival of Mario Lemieux in the 1980s and Sidney Crosby in the 2000s, two acquisitions that have led to a golden age of Pittsburgh hockey. A must-have addition to any Pens fan s library, Total Penguins puts the entirety of the team s history at one s fingertips. This comprehensive encyclopedia includes:  Season-by-season summaries  Statistics for every player in team history  Details of every trade, draft pick, and free-agent signing ever made by the Pens  Biographies of every coach, general manager, owner, and Hall of Fame player  Profiles on 66 of the most important players in Penguins history  Background on every arena the franchise has ever called home  Team records, statistics, award winners, and trivia  And much, much more For any hockey fan who considers the Consol Energy Center his or her home away from home, Total Penguins is the ultimate guide to this Stanley Cup winning franchise.  An avid hockey fan and freelance writer, Rick Buker hails from Pittsburgh, Pennsylvania. In 1979 Rick earned a degree in business administration from Indiana University of Pennsylvania. Upon his graduation, he accepted a position with Consolidated Natural Gas Company. Rick began his writing career in 1995 when he joined the company s communications staff.",Rick Buker,Travel,160078397X
50,"ESV Premium Gift Bible (TruTone, Chestnut, Filigree Design)",http://ecx.images-amazon.com/images/I/41sEVDPeQuL.jpg," The  ESV Premium Gift Bible  retains many of the popular features from the original  Thinline Bible . This highly-affordable edition features a quality TruTone cover and a concordance, all in a portable format that is less than one inch thick. Containing the complete ESV text in readable type, the  Premium Gift Bible  offers the highest value for a thinline Bible at the best price.   Features:     Size: 5.375"" x 8.375""    8-point Lexicon type   1,120 pages   Words of Christ in red   Double-column, paragraph format   Concordance   Smyth-sewn binding   Lifetime guarantee   Packaging: O-wrap   ",ESV Bibles by Crossway,Christian Books & Bibles,1433550598
51,"Slam Dunk, Vol. 29",http://ecx.images-amazon.com/images/I/51iliZxYgNL.jpg,"The best-selling series from Eisner-nominated Takehiko Inoue, one of Japan s greatest manga creators.  Winning isn't everything in the game of basketball, but who wants to come in second? It takes dedication and discipline to be the best, and the Shohoku High hoops team wants to be just that. They have one last year to make their captain's dream of reaching the finals come true will they do it?   With seven minutes left in the second half, Shohoku slowly chips away at Sannoh  s large lead thanks to Sakuragi s rebounds. But Sannoh s star player Sawakita isn t going to sit still for that! Faced with an apparently unstoppable opponent, Rukawa and Sakuragi both have to dig deep to understand themselves and their own game, and become the basketball players they were meant to be!   Reads R to L (Japanese Style) for teen audiences.",Takehiko Inoue,Comics & Graphic Novels,1421533367
52,Revealing Us (The Inside Out Series),http://ecx.images-amazon.com/images/I/41baL5ODdEL.jpg,"Book 3 in the  New York Times bestselling   INSIDE OUT  series now  in development for TV with acclaimed producer, Suzanne Todd !   You've discovered Sara's secrets. Now Sara will discover  his  deepest, darkest secrets...but will those secrets bind them together--or tear them apart?   He has become her life, her heart, her very soul. But he is dark and damaged, and his secrets are many. Sara will risk everything for him. He, in turn, will dare to expose his deepest needs, his most erotic desires. And in the fury of passion he will reveal all that torments him, all that he can never escape. To love him, Sara must embrace the darkest part of him, and become his shelter in a storm that will be his ultimate salvation.",Lisa Renee Jones,Romance,1476727228
53,Let's Take a Walk Through the Orthodox Church,http://ecx.images-amazon.com/images/I/512avRlDWdL.jpg,"When we come to worship in the Orthodox Church, we are surrounded by a variety of objects that conspire to keep our attention focused on the worship of God. Icons, architecture, candles, incense, votive lights, chandeliers, vestments-all speak to us in their own way to tell us something about our faith. This book takes a child on a tour through an Orthodox Church, clearly and simply explaining in forty-five brief chapters the meaning of the many objects seen in most Orthodox Churches. Each explanation is enhanced with an original four-color painting. Written primarily for children in grades 3 through 6. Excellent for use by parents at home, by Sunday School teachers, and priests.",Father Anthony Coniaris,Children's Books,1880971399
54,I Love Bacon,http://ecx.images-amazon.com/images/I/61j8YWzElhL.jpg,"MMMM BaconFilled with mouth watering recipes, trivia, fun facts and pictures, this 12 month mini calendar really packs a punch!",,"Cookbooks, Food & Wine",1554843219
55,Saskatchewan Backroad Mapbook,http://ecx.images-amazon.com/images/I/51d1GfxlAaL.jpg,"This backroad mapbook includes 121 colour recreational GPS-compatible relief maps covering the Canadian province of Manitoba and a reference section with information on outdoor recreational opportunities available in the province. The maps include highways, backroads, trails, ferry routes, parks,campsites, points of interest, and the locations of outdoor recreational activities. The reference section includes park adventures, trail adventures, paddling adventures, wildlife adventures, fishing adventures, hunting adventures, winter adventures, and backroad adventures with information on natural and man-made attractions. Also includes adventure index and map index.",,Travel,1926806417
56,Edith Bouvier Beale of Grey Gardens: A Life in Pictures,http://ecx.images-amazon.com/images/I/51zgGcY0MXL.jpg,"Edith  Little Edie  Bouvier Beale (1917-2002) is best known for her appearance in the critically acclaimed 1975 film  Grey Gardens , a documentary by Albert and David Maysles that explored the reclusive lives of Beale and her mother  Big Edie,  the first cousin and aunt of Jacqueline Kennedy Onassis, respectfully. Over the past three decades, the film and its eccentric stars have become cult icons, inspiring fashion tributes by the likes of Phillip Lim and John Galliano, a hit Broadway musical adaptation that swept up three Tony Awards in 2007, and an upcoming HBO movie starring Drew Barrymore and Jessica Lange as the famed odd couple.       Edith Bouvier Beale of Grey Gardens: A Life in Pictures  , the latest installment in a series that includes photo-biographies of John F. Kennedy, Pope John Paul II, Grace Kelly, Marilyn Monroe, and others, presents the most in-depth look at the life of Little Edie since the Maysles  film vaulted her into the public consciousness. Conceived by members of the Beale family, the book traces a line from Edie s childhood through her heady days as a young socialite and her later years at Grey Gardens, the decrepit East Hampton estate where she and her mother lived in near-total isolation for decades. Featuring over 150 newly uncovered photographs and letters,   Edith Bouvier Beale of Grey Gardens   offers unprecedented access to the personal history of this twentieth-century woman of mystery.",Eva Marie Beale,Arts & Photography,2916954066
57,"Painting with Brenda Harris, Volume 3 - Lovely Landscapes: 10 Step-by-Step Projects",http://ecx.images-amazon.com/images/I/51eEpCoPzyL.jpg,"   You too can become an artist. It's as easy as 1-2-3!   Painting with acrylics is easy, fast and fun. Let  Brenda Harris  show you how with the 10 delightful projects inside this book the third in North Light's ""Painting with Brenda Harris"" series.  Let beloved television painter Brenda Harris show you how to paint charming landscapes in acrylics! You'll quickly learn basic color mixing and brushwork techniques, then put your skills into practice with 10 beautiful step-by-step painting projects. Brenda even gives you templates for each project and specific tips for painting clouds, water, trees and many more landscape elements.  Even if you've never picked up a brush before, you can paint a cozy woodland bungalow, a majestic waterfall and all of the other lovely landscapes in this book. You'll enjoy painting for years to come get started with Brenda today! ",Brenda Harris,Arts & Photography,1581807392
58,Great White Throne (The Omega Trilogy) (Volume 3),http://ecx.images-amazon.com/images/I/512r-QDlt1L.jpg,"   From his presence earth and sky fled away.      They stood before the throne, and books were opened.   ",J.B. Simmons,Christian Books & Bibles,1514302136
59,The Essentials of Political Analysis,http://ecx.images-amazon.com/images/I/41JqA2RTW6L.jpg,"Political science students need to get comfortable using the tools of political analysis. For stats-phobic undergrads, the research methods course need not need be nerve wracking, especially with Pollock's bestselling text to help them along the way. His brief, accessible guide walks students through the basics - measuring concepts, formulating and testing hypotheses, describing variables - while using key terms, chapter-opening objectives, 80 tables and figures, and class-tested exercises to get them using and applying their new skills. The new fourth edition features enhanced treatment of research design and logic controlled comparison and illustrates complex relationships with more accessible examples. A completely revised rubric further helps students identify these complex relationships in their own research.",Philip H Pollock III,Politics & Social Sciences,1608716864
60,"Stened's Realtime Professional Dictionary for Stenotypists, Revised Edition",http://ecx.images-amazon.com/images/I/41D9MuKD-ZL.jpg,"Book by Ritter, Beverly L.",Beverly L. Ritter,Business & Money,093864372X
61,"Welcome to the Show: A Mickey Tussler Novel, Book 3 (The Mickey Tussler Series)",http://ecx.images-amazon.com/images/I/51J1vgO2h4L.jpg," It s 1950 and Mickey Tussler the now-famous pitching prodigy with autism and a golden arm is back for another baseball season in this third installment of Frank Nappi s critically acclaimed Legend of Mickey Tussler series. Talk of Mickey s legendary exploits on the field has grown since his improbable debut two years prior, as have the fortunes of Murph and the rest of the lovable ragtag Brew Crew. Now Mickey, Murph, and Lester find themselves heading to Bean Town to play for the Boston Braves.  The call up is sweet, for all of them have overcome insurmountable odds to get where they are. But life in the major leagues is filled with fast-paced action both on and off the field. The bright lights of Boston hold a new series of challenges, hardships, and life lessons especially for Mickey, who finds himself a long way from throwing apples into a barrel back on the farm. The three newest Braves have each other to lean on, as well as a new group of fans who are swept away by pennant fever, but balancing everything this new world has to offer may prove to be the greatest challenge of all.  Sky Pony Press, with our Good Books, Racehorse and Arcade imprints, is proud to publish a broad range of books for young readers picture books for small children, chapter books, books for middle grade readers, and novels for young adults. Our list includes bestsellers for children who love to play Minecraft; stories told with LEGO bricks; books that teach lessons about tolerance, patience, and the environment, and much more. While not every title we publish becomes a  New York Times  bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",Frank Nappi,Teen & Young Adult,1634508297
62,Travels With Casey,http://ecx.images-amazon.com/images/I/51LBgqQp01L.jpg,"A  New York Times  bestseller and  People   Book of the Week : This hilarious, charming road trip through canine-loving America is  essential reading for dog lovers and armchair travelers  ( Library Journal , starred review).   I don t think my dog likes me very much,   New York Times Magazine  writer Benoit Denizet-Lewis confesses at the beginning of his cross-country journey with his nine-year-old Labrador-mix, Casey. Over the next four months, thirty-two states, and 13,000 miles in a rented motor home, Denizet-Lewis and his lovable, moody canine companion try with humorous and touching results to pay tribute to the most powerful interspecies bond there is, in the country with the highest rate of dog ownership in the world.   On the way, Denizet-Lewis  a master at effortlessly weaving bits of research into his narrative  ( Los Angeles Times ) meets an irresistible cast of dogs and their dog-obsessed humans. Denizet-Lewis and Casey hang out with wolf-dogs in Appalachia, enter a dock-jumping competition in Florida, meet homeless teens and their dogs in Washington, sleep in a Beagle-shaped bed and breakfast in Idaho, and visit  Dog Whisperer  Cesar Millan in California. And then there are the  really out there  characters: pet psychics, dog-wielding hitchhikers, and two women who took their neighbor to court for allegedly failing to pick up her dog s poop.   Denizet-Lewis s memoir  is a lot like Casey fun, sweet, and a little neurotic  ( Chicago Tribune ) a delightfully idiosyncratic blend of memoir and travelogue coupled with a sociological exploration of a dog-obsessed America.  Travels With Casey  is  a thoroughly engaging and often hilarious investigation of the therapeutic nature of our relationships with dogs  ( Booklist ).",Benoit Denizet-Lewis,"Crafts, Hobbies & Home",1439146969
63,Stonehenge (History's Great Structures (Reference Point)),http://ecx.images-amazon.com/images/I/51lkKLfGILL.jpg,"Presents information about Stonehenge, including current theories about how it was constructed, its intended purpose, and the culture of the people who erected it, and what is being done to preserve it for future generations.",Stephen Currie,Teen & Young Adult,1601527128
64,Minneapolis to Mobile: Via the Mississippi and Tennessee,http://ecx.images-amazon.com/images/I/51NTHWXAMCL.jpg,"A first-person travel narrative based on the author's trip from Minneapolis, Minnesota to Mobile, Alabama.",Timothy Remus,Travel,1929133138
