,Title,Images,Summary,Aurthor,Category,ID
33,Solr in Action,http://ecx.images-amazon.com/images/I/41KrHs2jcQL.jpg,"<div><p><b>Summary</b></p><p><i>Solr in Action</i> is a comprehensive guide to implementing scalable search using Apache Solr. This clearly written book walks you through well-documented examples ranging from basic keyword searching to scaling a system for billions of documents and queries. It will give you a deep understanding of how to implement core Solr capabilities.</p><p><b>About the Book</b></p><p>Whether you're handling big (or small) data, managing documents, or building a website, it is important to be able to quickly search through your content and discover meaning in it. Apache Solr is your tool: a ready-to-deploy, Lucene-based, open source, full-text search engine. Solr can scale across many servers to enable real-time queries and data analytics across billions of documents.</p><p><i>Solr in Action</i> teaches you to implement scalable search using Apache Solr. This easy-to-read guide balances conceptual discussions with practical examples to show you how to implement all of Solr's core capabilities. You'll master topics like text analysis, faceted search, hit highlighting, result grouping, query suggestions, multilingual search, advanced geospatial and data operations, and relevancy tuning.</p><p>This book assumes basic knowledge of Java and standard database technology. No prior knowledge of Solr or Lucene is required.</p><p>Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.</p><p><b>What's Inside</b></p><ul> How to scale Solr for big data</li> Rich real-world examples</li> Solr as a NoSQL data store</li> Advanced multilingual, data, and relevancy tricks</li> Coverage of versions through Solr 4.7</li></ul><p><b>About the Authors</b></p><p><b>Trey Grainger</b> is a director of engineering at CareerBuilder. <b>Timothy Potter</b> is a senior member of the engineering team at LucidWorks. The authors work on the scalability and reliability of Solr, as well as on recommendation engine and big data analytics technologies.</p><p><b>Table of Contents</b></p><ol><h5>PART 1 MEET SOLR</h5> Introduction to Solr</li> Getting to know Solr </li> Key Solr concepts </li> Configuring Solr </li> Indexing </li> Text analysis </li><h5>PART 2 CORE SOLR CAPABILITIES</h5> Performing queries and handling results</li> Faceted search</li> Hit highlighting</li> Query suggestions</li> Result grouping/field collapsing</li> Taking Solr to production</li><h5>PART 3 TAKING SOLR TO THE NEXT LEVEL</h5> SolrCloud</li> Multilingual search</li> Complex query operations</li> Mastering relevancy</li></ol>",Trey Grainger,Computers & Technology,1617291021
34,The Collapse of Complex Societies (New Studies in Archaeology),http://ecx.images-amazon.com/images/I/41zbA5dUKQL.jpg,"Political disintegration is a persistent feature of world history. The Collapse of Complex Societies, though written by an archaeologist, will therefore strike a chord throughout the social sciences. Any explanation of societal collapse carries lessons not just for the study of ancient societies, but for the members of all such societies in both the present and future. Dr. Tainter describes nearly two dozen cases of collapse and reviews more than 2000 years of explanations. He then develops a new and far-reaching theory that accounts for collapse among diverse kinds of societies, evaluating his model and clarifying the processes of disintegration by detailed studies of the Roman, Mayan and Chacoan collapses.",Joseph A. Tainter,Science & Math,052138673X
35,Creative Colored Pencil: Easy and Innovative Techniques for Beautiful Painting,http://ecx.images-amazon.com/images/I/61ftmw%2BiMoL.jpg,"<div><b>New, easy &amp; fun colored pencil techniques!</b><br /><br /> In <i>Creative Colored Pencil</i>, you will find secrets for amazing new and never-before-seen techniques that will turn your everyday colored pencils (both traditional wax-based and water-soluble into liquid pencils! Whether you want to learn how to color with colored pencils or want to learn how to paint exceptionally realistic colored pencil artwork, get ready to use materials you&#39;ve probably never considered before--each a true innovation!<ul> A full primer on types of pencils, recommended tools and basic techniques</li> Demonstrations for turning colored pencils into &quot;paint&quot; using easy-to-find materials such as rubber cement thinner, mineral spirits and rubbing alcohol</li> 14 colored pencil projects (including full palette lists) including flowers, landscapes and animals</li></ul>You will discover an unlimited variety of creative possibilities, from the painterly style of acrylics and oils to the loose watercolor look of water-soluble colored pencils and everything in between. Get ready to lose yourself as you learn how to use colored pencils in ways you never thought possible.",Gary Greene,Arts & Photography,144033837X
36,Sitting in a Rowboat Throwing Marbles at a Battleship,http://ecx.images-amazon.com/images/I/41yNdTLRyAL.jpg,"An epidemic of addiction to pornography and compulsive sexual behavior is wiping out individuals, marriages and families! It has become clear that Latter-day Saints are not immune. Men, women and children of the LDS faith are finding, as Elder Neal A. Maxwell observed, that the chains of pornography do not easily let go of their victims. Fear, shame and humiliation prevent so many addicts from getting the help they need. Instead, they keep praying and reading their scriptures and hoping that Heavenly Father will just make this whole thing go away. In the meantime, years pass and the problem grows worse, not better. Despair is abundant; hope is scarce.<P> &#34;But this isn't how it has to be!&#34; exclaims Andrew Pipanne, a Latter-day Saint and recovering sex and pornography addict. &#34;Recovery from addiction is not only possible, but it's also a wonderful experience!&#34; <i>Sitting in a Rowboat Throwing Marbles at a Battleship</i> is a collection of essays written by Andrew to help other LDS addicts, spouses, counselors and priesthood leaders understand exactly what is necessary for that recovery experience to take place.<P> Drawing on events from his own life, Andrew explains with rare insight how he and many other Mormons finally figured out what was keeping them from overcoming their &#34;little porn problem.&#34; He presents a simple way of understanding what we're really dealing with in the now classic essay &#34;The ABCs of Pornography Addiction.&#34; In &#34;The Silent Seventy Percent,&#34; Andrew discusses why secrecy and isolation are suffocating so many Mormons as they desperately try to overcome their addiction on their own.<P> &#34;A Letter to LDS Wives About Pornography Addiction&#34; has also become a classic essay, helping thousands of Mormon women come to understand and accept that they didn't cause this problem in their husbands, they can't control it and they can't cure it. Through this book and the related LDS-focused recovery website, RowboatAndMarbles.org, these women are finding not only a greater understanding of the problem of pornography addiction, but they are also becoming empowered with the knowledge that they don't have to live with it and the insanity it causes in their families.<P> <i>Sitting in a Rowboat...</i> is full of hope but it is also full of reality, so it contains a lot of ideas that may be difficult for some Latter-day Saints (and others) to hear. &#34;Addiction distorts our view of reality,&#34; explains Andrew. &#34;Addiction causes us to twist and manipulate basic Gospel truths so that we eventually come to believe--falsely--that we really are following the Savior and that our compulsive sexual behavior including porn consumption is nothing more than a tiny bump in the road--no big deal.&#34; As one reader put it, &#34;<i>Sitting in a Rowboat...</i> takes away the wiggle room that keeps so many Mormons in denial about their addiction and prevents them from getting the help they need.&#34;<P> In some of the most touching essays in the book, Andrew explains what recovery from addiction actually feels like and how that recovery changes the way we think, act and feel. &#34;For years,&#34; says Andrew, &#34;I kept telling myself that I was done with the porn--for real this time--only to fall back into it days, weeks or months later. It wasn't until I started working an honest recovery program with a sponsor, with other recovering addicts and with an effective 12 Step program that I finally starting feeling a genuine change in my heart and mind. I finally knew why I no longer acted out with my drug and I knew that I now had the tools I needed never to act out again!&#34;<P> The message that Andrew shouts from the rooftops is that recovery from porn and sexual addiction is possible and wonderful!",Andrew Pipanne,"Health, Fitness & Dieting",098586690X
37,30 Perfect Popcorn Recipes : How to Make Sweet & Savory Gourmet Popcorn at Home (Volume 1),http://ecx.images-amazon.com/images/I/51hDyzmR6eL.jpg,"Popcorn has probably been around longer than any other snack food on the planet. It has a rich history, dating back to before civilization and taking part in a multitude of events we celebrate every year. It’s the most popular snack food around the world, and the second most popular snack in America (falling just behind potato chips). Popcorn can be found all over the country, at movie theaters, carnivals, and most people’s kitchens or pantries. It is a common misconception that popcorn is an unhealthy snack. The reason some people avoid popcorn is because they don’t understand the real culprit! Behind its supposedly unhealthy status, are the seasonings and additives, often added to commercially packaged products to liven up the bland natural flavor and to lengthen it’s shelf life. The popcorn itself is a wholegrain, and these can help prevent cancer and lower the risk of heart disease, while also supplying healthy nutrients that support our vision. There are many different methods to create popcorn, but the basic principle stays the same. All you have to do is make the kernels hot enough to heat the moisture contained naturally inside, and turn that into steam. The steam creates pressure from inside the hard shell casing and before you know it, POP! - the kernel is turned inside out and is ready to be consumed. As long as you can generate heat and have some kernels on hand, you can make popcorn! Enough of the history, what about the recipes? I’ve gathered 30 of the finest popcorn recipes from around the world for your snacking pleasure, and have tried to keep them free from artificial sweeteners, preservatives or other nasty additives wherever possible. I’ve specified 9 cups of popped corn for most recipes, as that gives 3 generous cups per serving - you can have as many or as few servings as you fancy, but keep an eye on the calories! For your convenience, I’ve also included nutritional data from the USDA for each recipe - that’s the U.S. Department of Agriculture and not the United Square Dancers of America! My preference for both flavor and health reasons, is freshly air-popped popcorn - so I have used that kind for all of these recipes. Everything in this book can be made with kernels you have freshly popped, or if you are in a hurry (or feeling lazy!), then you can always use the plain store bought pre-popped variety - just make sure you check the packaging for artificial nasties! Most of the ingredients for these recipes can be found at your local grocery store or deli, but if you get stuck, then the slightly more unusual ones can also be bought online via this special page on my website - www.greengourmetbooks.com/ing Enjoy preparing and sharing! Lori x P.S. - If 30 recipes isn’t quite enough for you, then check the back of the book to find out how to get another 12, absolutely free!",Lori Jane Stewart,"Cookbooks, Food & Wine",1480078972
38,La huerta de manzanas / The Apple Orchard (Una visita a... / A Visit to...) (Multilingual Edition),http://ecx.images-amazon.com/images/I/51D5mXSkVYL.jpg,Simple text and photos present a visit to an apple orchard in both English and Spanish.,Patricia J. Murphy,Children's Books,1429611944
39,Neurotox '91: Molecular Basis of Drug & Pesticide Action,http://ecx.images-amazon.com/images/I/41GtyzesRvL.jpg,"NEUROTOX '91 was the fourth meeting in a series which started in 1979. The '91 meeting, like its predecessors, was held under the patronage of the Society of Chemical Industry, and despite the unfortunate proximity of hostilities in the Arabian Gulf attracted a truly international mix of industrial and academic pesticide scientists. This volume contains the text of invited papers read at the meeting and presents the dramatic developments which so excited those who attended. The potential of molecular neurobiology for gaining knowledge of target sites for neurotoxicants is now starting to be realised. These studies, in conjunction with developments in molecular imaging and modelling, provide new oppor­ tunities for chemists and biologists to gain insights into molecular interactions underlying intoxication. Molecular techniques have also enabled rapid ad­ vances on a second front, where the cloning of genes controlling pesticide resistance should have a profound impact on our understanding of this commercially important problem. The understanding of molecular events will undoubtedly be vital in future developments in chemical control of pests; however, the value of understand­ ing the way in which the nervous system controls behaviour and how behaviour can be modified by chemicals of bath synthetic and natural origins was highlighted. Natural products and their synthetic analogues have continued to provide new and interesting molecules which are already proving their worth as tools for the neuroscientist and may offer leads for commercial synthesis.",,Medical Books,1851667466
40,"Fundamental Mechanics of Fluids, Fourth Edition",http://ecx.images-amazon.com/images/I/41EwsW9JOZL.jpg,"<P><STRONG>Fundamental Mechanics of Fluids, Fourth Edition</STRONG> addresses the need for an introductory text that focuses on the basics of fluid mechanics―before concentrating on specialized areas such as ideal-fluid flow and boundary-layer theory. Filling that void for both students and professionals working in different branches of engineering, this versatile instructional resource comprises five flexible, self-contained sections:</P> <UL> <LI><STRONG><EM>Governing Equations</EM></STRONG> deals with the derivation of the basic conservation laws, flow kinematics, and some basic theorems of fluid mechanics. </LI> <LI><EM><STRONG>Ideal-Fluid Flow</STRONG></EM> covers two- and three-dimensional potential flows and surface waves. </LI> <LI><EM><STRONG>Viscous Flows of Incompressible Fluids</STRONG></EM> discusses exact solutions, low-Reynolds-number approximations, boundary-layer theory, and buoyancy-driven flows. </LI> <LI><EM><STRONG>Compressible Flow of Inviscid Fluids</STRONG></EM> addresses shockwaves as well as one- and multidimensional flows. </LI> <LI><EM><STRONG>Methods of Mathematical Analysis</STRONG></EM> summarizes some commonly used analysis techniques. Additional appendices offer a synopsis of vectors, tensors, Fourier series, thermodynamics, and the governing equations in the common coordinate systems.</LI></UL> <P>The book identifies the phenomena associated with the various properties of compressible, viscous fluids in unsteady, three-dimensional flow situations. It provides techniques for solving specific types of fluid-flow problems, and it covers the derivation of the basic equations governing the laminar flow of Newtonian fluids, first assessing general situations and then shifting focus to more specific scenarios. </P> <P>The author illustrates the process of finding solutions to the governing equations. In the process, he reveals both the mathematical methodology and physical phenomena involved in each category of flow situation, which include ideal, viscous, and compressible fluids. This categorization enables a clear explanation of the different solution methods and the basis for the various physical consequences of fluid properties and flow characteristics. Armed with this new understanding, readers can then apply the appropriate equation results to deal with the particular circumstances of their own work.</P>",I.G. Currie,Engineering & Transportation,1439874603
41,Wicked Sacrifice (Books 4 and 5),http://ecx.images-amazon.com/images/I/515yo9DxBmL.jpg,"Bound Hearts - Wicked Intent By Lora Leigh Control has meant everything to Tally Raines. Control of the office she ran as Jesse Wyman's secretary, and now control of Lucian Conover's office as well. But Lucian isn't content to be controlled by his fiery secretary. As a matter of fact, Lucian thinks she needs to loosen up and let the sexy, sensual woman hiding beneath her cool exterior free. And he will dare her to do just that… With a little help. Bound Hearts - Sacrifice By Lora Leigh Book five of the Bound Hearts series Kimberly has run from Jared for a year now, sensing the weakness he could be to her future. But she never expected the sacrifice he would make for her. One that will rock her soul, and destroy the very foundations of all her beliefs. Her sexuality, her heart, and all she's fought for in the last six years will be tested when an assignment takes her to Jared's farm, and into his bed. There she will learn the true meaning of hunger, of love…as well as the deception and the lies that have governed her life for so long. Anything worth having is worth sacrificing for. Kimberly is about to find out if she can pay the price, and risk not only the inheritance that should be hers, but also her heart to the one man who can still the fires that rage in her soul.",Lora Leigh,Romance,1419953966
42,How and When to Tell Your Kids About Sex: A Lifelong Approach to Shaping Your Child's Sexual Character (God's Design for Sex),http://ecx.images-amazon.com/images/I/51cVo05fqkL.jpg,"This book will help you establish a biblical view of sexuality for your kids. Learn how and when to talk with your children about sexual curiosity, physical changes of puberty, dating, chastity, and more.",Stan Jones,Christian Books & Bibles,160006017X
43,"One & the Same: Connecting Fibromyalgia, Chronic Fatigue Syndrome, Candidiasis & Immune System Dysfunction",http://ecx.images-amazon.com/images/I/41i-J-1OwSL.jpg,"Academic and inspirational study connects Fibromyalgia with Chronic Fatigue Syndrome, Candidiasis and Immune Dysfunction using empirical evidence. Teresa describes traditional and non-traditional treatments, most of which she has personally tried.",Teresa L. Eakman,"Health, Fitness & Dieting",1412003474
44,"Popular Mechanics The Amazing Weapons That Never Were: Robots, Flying Tanks & Other Machines of War",http://ecx.images-amazon.com/images/I/51Hu9pQ505L.jpg,"<div>Between 1910 and 1970, scientists and military experts made hundreds of predictions in <I>Popular Mechanics</I> about the future of warfare. Some of those prophecies were downright nuts, while others veered eerily close to reality. This collection of vintage articles, with their stunning original art, will spark the imagination of every military buff, retrophile, and futurist. And the jacket unfolds into an amazing 24&#8221; x 19&#8221; poster of fantastic machines, blasters, and flying tanks. Astrophysics professor, science-fiction author, and NASA advisor Gregory Benford provides an introduction to every chapter.",Gregory Benford,History,158816862X
45,Rice Cooker Recipes: 50+ Rice Cooker Recipes - Quick & Easy for a Healthy Way of Life (Slow cooker recipes - rice cooker - recipes),http://ecx.images-amazon.com/images/I/51cmIePTKgL.jpg,"<h1>RICE - RICE - BABY!</h1> <hr> <h2>50+ DELICIOUS RICE COOKER RECIPES</h2> 100% vegan approved! <hr> <i>If you are searching for quick and easy, all while eating as healthy as possible, then you have found the right cookbook my friends.</i> <br> It does not get any easier than a rice cooker. <hr> And it does not get any healthier than vegan recipes. <hr> <b>Check out some of these delicious recipes inside of this cookbook:</b> <hr> *Corn and Peas Rice <br> *Red Beans Rice <br> *Kale Pasta <br> *Yummy Oatmeal <br> *Spicy Pilaf with sprouts <br> *Rice Cooker Sushi <br> *Rose flavored rice pudding <br> *Veggie rice <br> *Black bean soup <br> *Yellow dal <br> *Brown rice with chickpeas <br> *Banana coconut sticky desert <br> *Couscous with kale and potatoes <br> *Quinoa with almonds and corn <br> *Mushroom and black bean rice <br> *Coconut scented rice with roasted almonds <br> *Peanut Rice with bell peppers <br> *Lentils kale and Miso soup <br> *Apple and raisin porridge rice <br> *Creamy mushroom soup <br> *Spicy brown rice wraps <br> *Spicy and sour sweet potatoes <br> *Dal Sag (lentil curry) <br> *Rice chili stew <br> *Date and Oatmeal porridge with almonds <br> *Low-fat Spanish risotto <br> *Cashew flavored Cherry rice <br> *Mexican red lentil stew <br> *Chinese stir fried rice <br> *Hawaiian rice <br> *Leek and potato soup <br> *Spicy vegetable curry <br> *Noodle soup <br> *Lemon flavored vermicelli <br> *Lentil sandwich with barbecue sauce <br> *Yummy vegetable momos <br> *Cilantro and lime rice <br> *Tangy tomato pasta <br> *Pumpkin and baby spinach risotto <br> *Wild mushroom rice <br> *Breakfast burritos <br> *Potato wraps <br> *Chipotle tacos <br> *Black eyed peas <br> *Potato sandwich with mint paste <br> *Bottle gourd with honey and nuts <br> *Peas Pilaf <br> *Taco Soup <br> *Sweet coconut dumplings <br> *Quinoa with almonds, cranberries and apricots <br> <hr> <i>These recipes are 100% vegan approved!</i> <br> But this does not mean that vegetarians, and even meat eaters will not enjoy them as well. They are everybody approved. <hr> Eating healthy does not have to be a long tedious task. Cooking your food in a rice cooker is the simplest way to cook BAR NONE! <hr> <b>Scroll on back up and over to the right to the orange buy now button and order your copy today.</b> <hr> <i>I hope that you enjoy the recipes and I look forward to conversing with you on the inside! Carpe Diem Dexter</i>",Dexter Poin,"Cookbooks, Food & Wine",1500896195
46,Same-Sex Marriage and Religious Liberty: Emerging Conflicts,http://ecx.images-amazon.com/images/I/518SWrMaF6L.jpg,"Same-Sex Marriage and Religious Liberty explores the religious freedom implications of defining marriage to include same-sex couples. It represents the only comprehensive, scholarly appraisal to date of the church-state conflicts virtually certain to arise from the legal recognition of same-sex marriage. It explores two principal questions. First, exactly what kind of religious freedom conflicts are likely to emerge if society embraces same-sex marriage? A redefinition of marriage would impact a host of laws where marital status affects legal rights_in housing, employment, health-care, education, public accommodations, and property, in addition to family law. These laws, in turn, regulate a host of religious institutions_schools, hospitals, and social service providers, to name a few_that often embrace a different definition of marriage. As a result, church-state conflicts will follow. This volume anticipates where and how these manifold disputes will arise. Second, how might these conflicts be resolved? If the disputes spark litigation under the Free Speech, Free Exercise, or Establishment Clauses of the First Amendment, who will prevail and why? When, if ever, should claims of religious liberty prevail over claims of sexual liberty? Drawing on experience in analogous areas of law, the volume explores whether it is possible to avoid these constitutional conflicts by statutory accommodation, or by separating religious marriage from civil marriage.",,Law,074256326X
47,The Why of the Buy: Consumer Behavior and Fashion Marketing,http://ecx.images-amazon.com/images/I/51dzB7dcaIL.jpg,"<p>How do consumers decide what to buy for their wardrobes and their homes? What drives them to choose one brand over another? This current textbook tells all about how consumer behavior theory and practice is applied in the fashion industry.</p><p>The second edition of <i>Why of the Buy: Consumer Behavior and Fashion Marketing</i> updates its presentation of how psychology, sociology, and culture influences consumers' fashion purchase decisions-and ultimately impacts the success of global fashion enterprises. The unifying element of this text is its presentation of current knowledge of consumer behavior applied to the fields of fashion and design in an enthusiastic and relevant way that will attract and engage students.</p><p><b>New to this Edition </b><br>~ New Chapter 11, Social Media and the Fashion Consumer, explores how the relationship between marketers, retailers, and consumers is aided by social media and the internet<br>~ Added discussion of Omnichannel retailing in Chapter 13<br>~ Expanded and updated coverage of technology, ethics, and social responsibility <br>~ <i>What Do I Need to Know About …?</i> list the objectives of each chapter and provide a roadmap for study<br>~ More than 20% new photos all in full color</p><p><b>Chapter Features</b><br>~ <i>Let's Talk</i> features throughout each chapter encourage students to relate the topic to their experiences and observations<br>~ <i>Case in Point</i> and <i>Point of View</i> box features in each chapter offer real life case studies or current viewpoints on relevant consumer behavior and marketing topics<br>~ Chapter mini-projects offer an opportunity to apply chapter concepts to realistic fashion settings<br>~ Summaries, Key Terms, Questions for Review and Activities</p>",Patricia Mink Rath,Business & Money,1609018982
48,Future's Orphans,http://ecx.images-amazon.com/images/I/41hgS6vlVsL.jpg,"<div>n an uncertain future, the truth can get you killed.<br />Cassidy Nolan is a drug addicted journalist, disgraced after releasing one of the most iconic images of the new millennium. Fourteen years later, the world teeters on the verge of ecological collapse. A chance encounter with a sociopathic street kid will send her on a journey into chaos that may lead her to uncovering the biggest story of her career. Pursued by a burnt out ex-military contractor determined to earn his reward, there are no guarantees that she will live long enough to reveal what she has found.<br />Blade Runner meets Mad Max in this action packed near-future thriller from the author of Frame.",A K Alliss,Science Fiction & Fantasy,1516952839
49,Total Penguins: The Definitive Encyclopedia of the Pittsburgh Penguins,http://ecx.images-amazon.com/images/I/51YTQDmHJoL.jpg,"Total Penguins is the definitive resource on the Pittsburgh Penguins, one of the NHL s most popular and successful franchises. Featuring author Rick Buker s exhaustive research and hundreds of exclusive photographs courtesy of the Pittsburgh Post-Gazette, Total Penguins traces the franchise s history from its birth as an expansion team in 1967 to its flirtation with bankruptcy in the 1970s to the arrival of Mario Lemieux in the 1980s and Sidney Crosby in the 2000s, two acquisitions that have led to a golden age of Pittsburgh hockey.<br>A must-have addition to any Pens fan s library, Total Penguins puts the entirety of the team s history at one s fingertips. This comprehensive encyclopedia includes:<br> Season-by-season summaries<br> Statistics for every player in team history<br> Details of every trade, draft pick, and free-agent signing ever made by the Pens<br> Biographies of every coach, general manager, owner, and Hall of Fame player<br> Profiles on 66 of the most important players in Penguins history<br> Background on every arena the franchise has ever called home<br> Team records, statistics, award winners, and trivia<br> And much, much more<br>For any hockey fan who considers the Consol Energy Center his or her home away from home, Total Penguins is the ultimate guide to this Stanley Cup winning franchise.<br><br>An avid hockey fan and freelance writer, Rick Buker hails from Pittsburgh, Pennsylvania. In 1979 Rick earned a degree in business administration from Indiana University of Pennsylvania. Upon his graduation, he accepted a position with Consolidated Natural Gas Company. Rick began his writing career in 1995 when he joined the company s communications staff.",Rick Buker,Travel,160078397X
50,"ESV Premium Gift Bible (TruTone, Chestnut, Filigree Design)",http://ecx.images-amazon.com/images/I/41sEVDPeQuL.jpg,"<p>The&nbsp;<em>ESV Premium Gift Bible</em>&nbsp;retains many of the popular features from the original&nbsp;<em>Thinline Bible</em>. This highly-affordable edition features a quality TruTone cover and a concordance, all in a portable format that is less than one inch thick. Containing the complete ESV text in readable type, the&nbsp;<em>Premium Gift Bible</em>&nbsp;offers the highest value for a thinline Bible at the best price.</p> <p>Features:</p> <ul>  Size: 5.375"" x 8.375""&nbsp;</li>  8-point Lexicon type</li>  1,120 pages</li>  Words of Christ in red</li>  Double-column, paragraph format</li>  Concordance</li>  Smyth-sewn binding</li>  Lifetime guarantee</li>  Packaging: O-wrap</li> </ul>",ESV Bibles by Crossway,Christian Books & Bibles,1433550598
51,"Slam Dunk, Vol. 29",http://ecx.images-amazon.com/images/I/51iliZxYgNL.jpg,"The best-selling series from Eisner-nominated Takehiko Inoue, one of Japan&rsquo;s greatest manga creators.<BR><BR>Winning isn't everything in the game of basketball, but who wants to come in second? It takes dedication and discipline to be the best, and the Shohoku High hoops team wants to be just that. They have one last year to make their captain's dream of reaching the finals come true&#8212;will they do it?<BR><BR> With seven minutes left in the second half, Shohoku slowly chips away at Sannoh&rsquo; s large lead thanks to Sakuragi&rsquo;s rebounds. But Sannoh&rsquo;s star player Sawakita isn&rsquo;t going to sit still for that! Faced with an apparently unstoppable opponent, Rukawa and Sakuragi both have to dig deep to understand themselves and their own game, and become the basketball players they were meant to be!<BR><BR> Reads R to L (Japanese Style) for teen audiences.",Takehiko Inoue,Comics & Graphic Novels,1421533367
52,Revealing Us (The Inside Out Series),http://ecx.images-amazon.com/images/I/41baL5ODdEL.jpg,"Book 3 in the <i>New York Times bestselling</i> <b>INSIDE OUT</b> series now <b>in development for TV with acclaimed producer, Suzanne Todd</b>!<br><br><i>You've discovered Sara's secrets. Now Sara will discover &quot;his&quot; deepest, darkest secrets...but will those secrets bind them together--or tear them apart?</i><br><br>He has become her life, her heart, her very soul. But he is dark and damaged, and his secrets are many. Sara will risk everything for him. He, in turn, will dare to expose his deepest needs, his most erotic desires. And in the fury of passion he will reveal all that torments him, all that he can never escape. To love him, Sara must embrace the darkest part of him, and become his shelter in a storm that will be his ultimate salvation.",Lisa Renee Jones,Romance,1476727228
53,Let's Take a Walk Through the Orthodox Church,http://ecx.images-amazon.com/images/I/512avRlDWdL.jpg,"When we come to worship in the Orthodox Church, we are surrounded by a variety of objects that conspire to keep our attention focused on the worship of God. Icons, architecture, candles, incense, votive lights, chandeliers, vestments-all speak to us in their own way to tell us something about our faith. This book takes a child on a tour through an Orthodox Church, clearly and simply explaining in forty-five brief chapters the meaning of the many objects seen in most Orthodox Churches. Each explanation is enhanced with an original four-color painting. Written primarily for children in grades 3 through 6. Excellent for use by parents at home, by Sunday School teachers, and priests.",Father Anthony Coniaris,Children's Books,1880971399
54,I Love Bacon,http://ecx.images-amazon.com/images/I/61j8YWzElhL.jpg,"MMMM BaconFilled with mouth watering recipes, trivia, fun facts and pictures, this 12 month mini calendar really packs a punch!",,"Cookbooks, Food & Wine",1554843219
55,Saskatchewan Backroad Mapbook,http://ecx.images-amazon.com/images/I/51d1GfxlAaL.jpg,"This backroad mapbook includes 121 colour recreational GPS-compatible relief maps covering the Canadian province of Manitoba and a reference section with information on outdoor recreational opportunities available in the province. The maps include highways, backroads, trails, ferry routes, parks,campsites, points of interest, and the locations of outdoor recreational activities. The reference section includes park adventures, trail adventures, paddling adventures, wildlife adventures, fishing adventures, hunting adventures, winter adventures, and backroad adventures with information on natural and man-made attractions. Also includes adventure index and map index.",,Travel,1926806417
56,Edith Bouvier Beale of Grey Gardens: A Life in Pictures,http://ecx.images-amazon.com/images/I/51zgGcY0MXL.jpg,"Edith &ldquo;Little Edie&rdquo; Bouvier Beale (1917-2002) is best known for her appearance in the critically acclaimed 1975 film <i>Grey Gardens</i>, a documentary by Albert and David Maysles that explored the reclusive lives of Beale and her mother &ldquo;Big Edie,&rdquo; the first cousin and aunt of Jacqueline Kennedy Onassis, respectfully. Over the past three decades, the film and its eccentric stars have become cult icons, inspiring fashion tributes by the likes of Phillip Lim and John Galliano, a hit Broadway musical adaptation that swept up three Tony Awards in 2007, and an upcoming HBO movie starring Drew Barrymore and Jessica Lange as the famed odd couple. <br> <br> <i><b>Edith Bouvier Beale of Grey Gardens: A Life in Pictures</b></i>, the latest installment in a series that includes photo-biographies of John F. Kennedy, Pope John Paul II, Grace Kelly, Marilyn Monroe, and others, presents the most in-depth look at the life of Little Edie since the Maysles&rsquo; film vaulted her into the public consciousness. Conceived by members of the Beale family, the book traces a line from Edie&rsquo;s childhood through her heady days as a young socialite and her later years at Grey Gardens, the decrepit East Hampton estate where she and her mother lived in near-total isolation for decades. Featuring over 150 newly uncovered photographs and letters, <i><b>Edith Bouvier Beale of Grey Gardens</b></i> offers unprecedented access to the personal history of this twentieth-century woman of mystery.",Eva Marie Beale,Arts & Photography,2916954066
57,"Painting with Brenda Harris, Volume 3 - Lovely Landscapes: 10 Step-by-Step Projects",http://ecx.images-amazon.com/images/I/51eEpCoPzyL.jpg,"<div><p><b>You too can become an artist. It's as easy as 1-2-3!</b></p><p>Painting with acrylics is easy, fast and fun. Let <b>Brenda Harris</b> show you how with the 10 delightful projects inside this book&#151;the third in North Light's ""Painting with Brenda Harris"" series.</p><p>Let beloved television painter Brenda Harris show you how to paint charming landscapes in acrylics! You'll quickly learn basic color mixing and brushwork techniques, then put your skills into practice with 10 beautiful step-by-step painting projects. Brenda even gives you templates for each project and specific tips for painting clouds, water, trees and many more landscape elements.</p><p>Even if you've never picked up a brush before, you can paint a cozy woodland bungalow, a majestic waterfall and all of the other lovely landscapes in this book. You'll enjoy painting for years to come&#151;get started with Brenda today!</p>",Brenda Harris,Arts & Photography,1581807392
58,Great White Throne (The Omega Trilogy) (Volume 3),http://ecx.images-amazon.com/images/I/512r-QDlt1L.jpg,"<b><i> From his presence earth and sky fled away. </i></b><div><b><i>They stood before the throne, and books were opened.</i></b> ",J.B. Simmons,Christian Books & Bibles,1514302136
59,The Essentials of Political Analysis,http://ecx.images-amazon.com/images/I/41JqA2RTW6L.jpg,"Political science students need to get comfortable using the tools of political analysis. For stats-phobic undergrads, the research methods course need not need be nerve wracking, especially with Pollock's bestselling text to help them along the way. His brief, accessible guide walks students through the basics - measuring concepts, formulating and testing hypotheses, describing variables - while using key terms, chapter-opening objectives, 80 tables and figures, and class-tested exercises to get them using and applying their new skills. The new fourth edition features enhanced treatment of research design and logic controlled comparison and illustrates complex relationships with more accessible examples. A completely revised rubric further helps students identify these complex relationships in their own research.",Philip H Pollock III,Politics & Social Sciences,1608716864
60,"Stened's Realtime Professional Dictionary for Stenotypists, Revised Edition",http://ecx.images-amazon.com/images/I/41D9MuKD-ZL.jpg,"Book by Ritter, Beverly L.",Beverly L. Ritter,Business & Money,093864372X
