,Title,Images,Summary,Aurthor,Category,ID
31,Thriving with Diabetes: Learn How to Take Charge of Your Body to Balance Your Sugars and Improve Your Lifelong Health - Featuring a 4-Step Plan for Long-Lasting Success!,http://ecx.images-amazon.com/images/I/51VCty6L74L.jpg,"<div><p><b>Learn to Actively Manage Your Diabetes for a Healthy and Happy Life</b></p> <p><i>Thriving with Diabetes</i> empowers you to take charge of your diabetes, so you don't just deal with your symptoms, but change the way you think to improve your health, happiness, and quality of life. Through a simple four-step process, you'll learn how to intuitively understand your blood sugars and what causes both good and bad numbers. This proactive approach results in the ability to manage diabetes personally, not just by a set of notes from the doctor.</p> <p>Step 1: Lower the Highs</p> <p>Step 2: Limit the Lows</p> <p>Step 3: Use Your Best to Fix the Rest</p> <p>Step 4: Play with Your Diabetes</p> <p>Written by Dr. Paul Rosman and David Edelman, co-founder of Diabetes Daily, <i>Thriving with Diabetes</i> is not just about eating properly (although that's certainly part of it!), but also about managing the daily challenges of physical activity, stress, pain, sleep patterns, and other life events that have a major, but underappreciated, impact on blood sugar trends. You'll also pinpoint your favorite meals and activities and use them as multipliers of success--focusing on the positive rather than the negative. The result is immediate and satisfying improvements to total health, both physically and mentally!</p> <p>""<i>Thriving with Diabetes</i> has the answers you need. This comprehensive and easy-to-read guide is a great resource for people with diabetes, their families, and their caregivers. Everything we know about diabetes, testing, and medications is changing, and this up-to-date guide tells you exactly what you need to know."" - <i>Neal Barnard, M.D., author of Dr. Neal Barnard's Program for Reversing Diabetes</i></p> <p>""Rather than regurgitate the same old formulas and definitions, <i>Thriving with Diabetes</i> helps us navigate the challenges of living day-in and day-out with this relentless and unpredictable chronic condition. Dr. Rosman and David Edelman show us that surviving diabetes isn't good enough. Thriving is truly where it's at."" - <i>Gary Scheiner M.S., CDE, author of Think Like A Pancreas,and the 2014 American Association of Diabetes Educators' Diabetes Educator of the Year</i></p> <p>""Tired of feeling confused and frustrated with your diabetes? <i>Thriving with Diabetes</i> demystifies why blood sugars change, and gives you the tools you need to help you manage them successfully."" - <i>William Polonsky, Ph.D., CDE, co-founder and president of the Behavioral Diabetes Institute</i></p>",Paul Rosman,"Cookbooks, Food & Wine",1592336779
32,Great Journeys (Trailblazers),http://ecx.images-amazon.com/images/I/51zOvJMAuSL.jpg,"Great Journeys looks at some of the greatest journeys ever made - starting with human beings' first great journey 150,000 years ago: leaving Africa. Find out who first discovered America, who reached the South Pole first (and who came second!). Then find out about the great journey to reach the Moon. The fiction story 'The Big Sleep' tells of a man who spends a hundred years asleep in space, on the greatest journey ever.<br /><br />The Trailblazers series has been written for older children and young adults with a reading age of 5-8. The books are suitable for general reading or as part of a more structured reading program. Each book is on a strong, popular topic, with a colorful, attractive layout. <br /><br />Each book has a non-fiction and a fiction section. The fiction story appears in two formats - one with simple texts for poor readers; the facing pages contain an illustrated ""speech bubble"" version of the same story, for those who are just starting to learn to read. These two levels of entry give access points for children and young adults with different reading ages. The vocabulary of each book is carefully limited, with simple sentences to reinforce reading skills, which make the books suitable for even the poorest readers.<br />",David Orme,Teen & Young Adult,1841676535
33,When Pigs Move In: How To Sweep Clean the Demonic Influences Impacting Your Life and the Lives of Others,http://ecx.images-amazon.com/images/I/51edeo-Wz3L.jpg,"<div>Demons have come to kill, steal, and destroy. They take possession of lives, oppress believers and wreak havoc on the plans of God for His people. Could they be the source of YOUR struggles? Jesus did not say to counsel demons out or to medicate them out; He said, &#8220;Cast them out!&#8221; Every day, we give demons too much power when in fact, Jesus has given us authority to bind them and command them to leave. In When Pigs Move In, Don Dickerman delivers principles for deliverance, providing stories of men and women whose lives have been transformed because someone looked the devil right in the eye and commanded: &#8220;In Jesus&#8217; name, get OUT!&#8221; Dickerman includes interviews and insight into such notable conversions as David Berkowitz (Son of Sam), Ed Ferncombe (one of Ireland&#8217;s worst criminals), and many others who have been delivered and set free.",Don Dickerman,Christian Books & Bibles,1599794616
34,Lost on the Appalachian Trail,http://ecx.images-amazon.com/images/I/510OES%2Br0AL.jpg,"Join Kyle and his little dog ""Katana"" as they take you along for every step of their 2,185 mile adventure hiking the entire Appalachian Trail. Confront the terrain, severe weather, injury, dangerous wildlife and questionable characters as you grow and learn as Kyle did from start to finish of this epic adventure. Make some friends for life, learn the finer points of long distance hiking, and realize that what you take within your backpack is not nearly as important as what you bring within yourself... This exciting and often times humorous narrative does more than simply tell the story of Kyle and Katana's adventures on trail. You will be inspired, while learning what it takes mentally and physically to accomplish an undertaking such as hiking thousands of miles through mountainous wilderness while braving countless obstacles all determined to make you quit. Nobody said it was easy, but if you can make it to the end, your life will be changed forever. What are you waiting for? Adventure is calling… For more content from the Author, as well as to follow his past, present, and future adventures; check out the following pages! Website/Blog: BoundlessRoamad.com Instagram: @_roamad_ Facebook: facebook.com/kyle.rohrig.7 Youtube: youtube.com/c/NomadWisdom",Kyle S Rohrig,Biographies & Memoirs,1514747561
35,The Bridge Player's Bible: Illustrated Strategies for Staying Ahead of the Game,http://ecx.images-amazon.com/images/I/51zVvstOl3L.jpg,"Bridge, one of the world's most widely played card games, requires skill, concentration, and practice on the part of its players. This visual guide will help beginners master the rules and principles while also explaining strategies that both beginners and experienced players need to command for successful play. The author presents more than 300 clearly illustrated examples of bid structures, then instructs on how to rank, decode, and defend, from opening bids to endgame strategy. Separate chapters focus on opening bids, responses, rebids, slam bidding, opening leads, general play techniques, both no-trump and suit contracts, defensive leads and returns, and many other topics that are central to a well-played game. This updated edition also features ""Test Yourself"" sections throughout that include problem and solution exercises to help readers test their knowledge of the game--and practice new ways to apply it. Includes a helpful glossary, index, and more than 300 color illustrations.",Julian Pottage,Humor & Entertainment,076416760X
36,The Dogs of Riga,http://ecx.images-amazon.com/images/I/51V1z-7Jr8L.jpg,"<b>From the dean of Scandinavian&#160;noir, the&#160;second riveting installment in the internationally bestselling and&#160;universally acclaimed Kurt Wallander series, the basis for the PBS series staring Kenneth Branagh.</b><br><br>On the Swedish coastline, two bodies, victims of grisly torture and cold execution, are discovered in a life raft. With no witnesses, no motives, and no crime scene, Detective Kurt Wallander is frustrated and uncertain he has the ability to solve a case as mysterious as it is heinous. But after the victims are traced to the Baltic state of Latvia, a country gripped by the upheaval of Soviet disintegration, Major Liepa of the Riga police takes over the investigation. Thinking his work done, Wallander slips into routine once more, until suddenly, he is called to Riga and plunged into an alien world where shadows are everywhere, everything is watched, and old regimes will do anything to stay alive.",Henning Mankell,"Mystery, Thriller & Suspense",1400031524
37,Botswana Travel Map (Globetrotter Travel Map),http://ecx.images-amazon.com/images/I/51c0z1vdBUL.jpg,<div>,Globetrotter,Travel,1780093950
38,Believing Jesus: Are You Willing to Risk Everything? A Journey Through the Book of Acts,http://ecx.images-amazon.com/images/I/51K-8zPDq9L.jpg,"<p><strong>Are you truly willing to risk everything? </strong></p><p>In&nbsp;<em>Believing Jesus,</em>&nbsp;Bible teacher and author Lisa Harper retraces the steps of the apostles in the book of Acts, while throwing in a few of her own crazy adventures along the way. The disciples didn&rsquo;t have much of a road map after Jesus ascended to heaven, but God&rsquo;s grace and spirit filled in the gaps as they moved forward. It required their willingness to risk everything to establish a new community that would change the future world.</p><p>As a regular speaker on the Women of Faith<sup>&reg;</sup>&nbsp;tour, Lisa has earned a reputation as a true theological scholar and hilarious storyteller&mdash;not necessarily in that order! Best-selling author and pastor Max Lucado calls Lisa one of the &ldquo;best Bible tour guides around.&rdquo;</p><p><em>Believing Jesus&nbsp;</em>will highlight both of Lisa&rsquo;s strengths as she tackles every chapter of the Book of Acts with biblical wisdom and modern wit. Lisa keeps it real, telling stories on herself and pointing readers back to Jesus, the only one who can truly lead.</p>",Lisa Harper,Christian Books & Bibles,084992197X
39,Firefly: Things Don't Go Smooth,http://ecx.images-amazon.com/images/I/51PzdHVjeiL.jpg,"Don't matter whether you're flying a leaky boat along the Rim or dodging Alliance cruisers in the Core, there's always something or somebody getting in the way of a Crew's honest day's work. THINGS DON'T GO SMOOTH presents a baker's dozen of shady crews, crime bosses, megalomaniacs, and unexplainable phenomena designed to get in the way of your Crew. Each includes a wealth of story hooks, supporting characters, locations, ships, and background material to help you bring the 'Verse to your table. GM's will also find over 50 new Distinctions and Signature Assets, new enemy boats, rules for scene Traits and triggers, plus the Episodes ""Merciless"" and ""Thieves in Heaven"" to bring these characters to life! The FIREFLY RPG is required to use this supplement.  We think you'll appreciate the following:  Find 4 types of Antagonists ranging from crime bosses to the unexplained. Offers advice on how to handle Reavers using Cortex Plus. New rules introduce scene Triggers-giving GMs more dice to roll! Use our fancy Episode Generator. Never get stuck for ideas again!",,Science Fiction & Fantasy,1931567115
40,"The Leader, the Teacher & You : Leadership through the Third Generation",http://ecx.images-amazon.com/images/I/41fN4enA4-L.jpg,"""Everyone - regardless of profession - will benefit from reading this uniquely designed and highly original book. It is full of human insights, and it has a deep understanding of successful leadership, an appreciation of selflessness as the key to our collective future, an awareness of history's relevance to our lives and an unflinching emphasis on excellence. Siong Guan Lim is one of the most outstanding public servants in any country, and after finishing this book, you will know why.""<BR>Senator Bill Bradley<BR>Former U.S. Senator and a Managing Director at Allen & Co.<BR>United States of America<BR><BR>""The Leader, the Teacher and You is a riveting and thoughtful study on leadership based on theory, principles, and experience by a former Head of the Civil Service and one of Singapore's most successful and admired public servants, Siong Guan Lim. It should be read by every student of politics and public policy, and anyone who aspires to play a leadership role. The book, which as the author says is ""part biography, part commentary, and part exposition"", is loaded with insights into how to work with people, deal with reality, motivate an organisation, achieve results, anticipate change, and ensure relevance of the organisation. For those who have long puzzled over how Singapore has been able to achieve so much with so little and in short time, it is public servants such as Siong Guan Lim who have made the partnership between the civil service and the elected politicians so fruitful. Through his fascinating account of how he started in his first job as an engineer in the Sewerage Department, went on to be the Principal Private Secretary to Prime Minister Lee Kuan Yew, worked with Deputy Prime Minister and Minister of Defence Dr Goh Keng Swee, and became successively Permanent Secretary of Defence, Education, and Finance, he recounts the crucial mentorship and inspiration provided by Singapore's leaders. He thoroughly examines what true leadership is all about. Lim moved on to become Chairman of Singapore's Economic Development Board and then Group President of GIC Private Limited, the wealth fund of Singapore. I have not read such a clear analysis of the function of leadership written so succinctly and in such practical terms. It should be on the required reading list of university courses not only in Singapore, but major universities everywhere.""<BR>Professor Chan Heng Chee<BR>Chairman, Lee Kuan Yew Centre for Innovative Cities<BR>Singapore University of Technology and Design<BR>Singapore<BR><BR>""A remarkable bookâ¦after I started reading it I simply couldn't put it down. It has great insights, is fun to read, and deserves to be widely read. It is full of practical wisdom for a wide range of people - from full time mums to business leaders. It sets out a framework for leaders based on values and culture, but also on lessons learned by having to take tough decisions. Siong Guan Lim had an outstanding career in the development of Singapore. The ability, motivation, and vision of the author and his colleagues are clearly one reason why Singapore and Lee Kuan Yew were so successful. Because of this the book is a great insight to understanding the phenomenon of Singapore.""<BR>Lord Griffiths of Fforestfach>BR>Vice Chairman, Goldman Sachs International<BR>United Kingdom<BR><BR>""Siong Guan Lim has led and managed at the most senior levels of the Singaporean government. Any leader would love to have him at his/her side, advising, counselling, provoking, and reminding. We cannot have him with us in person, but we do have this book that extracts the lessons that he has garnered from his many years of experience. We are fortunate that he has chosen to share his wisdom in writing. I have used some of his wisdom in my Harvard Kennedy School course on Effective Implementation for more than ten years. It has stood the test of time. Now, with the advent of the book, I will borrow even more from him. My students and I are grateful.""<BR><BR>Mr Francis Hartmann<BR>Adjunct Lecturer in Public Policy and Originator of the Kennedy School course on Effective Implementation, Harvard Kennedy School of Government<BR>United States of America",Siong Guan Lim,Business & Money,1783263776
41,"Irish Night Before Christmas, An/A Leprechaun's St. Patrick's Day",http://ecx.images-amazon.com/images/I/51hkm1kf%2BNL.jpg,<p>This CD for young children includes a story of five leprechauns who wreak havoc on the unsuspecting city of Dublin as it prepares to celebrate one of its most sacred holidays: St. Patrick's Day.,Sarah Blazek,Children's Books,1589807308
42,"Sara, Book 3: A Talking Owl Is Worth a Thousand Words!",http://ecx.images-amazon.com/images/I/51-6Gx3%2BnNL.jpg,"""Do you believe in ghosts?"" Annette just sort of blurted out.Sara and Seth both looked up with surprise. ""Well,"" Sara stalled, ""I guess I do."" She remembered the night Solomon had visited her in her bedroom after Jason and Jimmy had shot him, but she hadn&#8217;t really thought about him being a ghost that night; she&#8217;d just been so glad to see her beloved feathered friend.Sara and Seth looked at each other. Both of them knew that if anything would fall into the category of ghosts, Solomon would most likely be it, but they didn&#8217;t say anything, uncertain about telling their new friend their special secret.""Well, do you believe in ghosts?"" Seth asked, looking intently at Annette&#8217;s serious face.Annette looked at Seth and then at Sara, who both sat quietly, each waiting to hear the answer.""No, I just wondered if you did,"" Annette answered abruptly. ""Hey, let&#8217;s swing."" And without taking the time to execute a perfectly calculated leap from the platform as she usually did, Annette grabbed the swinging rope and jumped off as if she couldn&#8217;t do so fast enough. . . .",Esther Hicks,Religion & Spirituality,1401911609
43,Biology of the Mammary Gland (Advances in Experimental Medicine and Biology),http://ecx.images-amazon.com/images/I/41ZdsYrwWWL.jpg,"Proceedings of the European Cooperation in the Field of Scientific and Technical Research (COST 825) Symposium on Mammary Gland Biology, held September 16-18, 1999, in Tours, France. <br/> It is difficult to overstate the evolutionary and functional significance of mammary tissue in biology. Substantial progress has been made by researchers in various disciplines, particularly over the last fifteen years, towards realizing the potential of this tissue to yield powerful experimental models for morphogenesis and tissue development; for cellular differentiation; for the biosynthesis and secretion of proteins, lipids, small molecules and inorganic salts; and for the coordination and regulation of these processes. More recently, the possibility of exploiting the secretory epithelial cells of mammary tissue as `cell factories' has become a reality and the recombinant production by lactating animals of an increasing number of proteins, valuable both in the pharmaceutical and `nutraceutical' fields, is in progress or under development. <br/> Also in this sphere of agricultural production, genetic as well as nutritional technologies are under investigation and exploitation to optimize milk composition for various end-uses - for instance in food process and manufacture. The possibilities of deriving health benefit from the bioactive properties of some of the minor constituents of milk are emerging to counter the highly-publicized negative health impact of excessive consumption of saturated animal fats. In human nutrition and medicine, the mammary gland is both a source of nutrition to the neonate and a potential health threat to the adult female - breast cancer remains the major single cause of female mortality in most developed countries. <br/> This volume provides a unique glimpse into our understanding, at the cutting edge of a variety of disciplines, of this versatile and extraordinary tissue, at the birth of the twenty-first century.",,Medical Books,1475786433
44,Picturepedia,http://ecx.images-amazon.com/images/I/61923NOxuyL.jpg,"<p>Ten thousand stunning photographs and illustrations catalog the wonders of history, space, the natural world, and more in this ultimate resource for kids ages 9&ndash;12. Bringing together an amazing array of images to explain every topic under the sun&mdash;and beyond&mdash;this book has a mini-encyclopedia on every page.</p><p><i>Picturepedia</i> contains chapters on science and technology, nature, geography, culture, sports and hobbies, history, insects, musical instruments, spacecraft, world maps, famous discoveries, prehistoric life, and more. Every double-page spread contains a wealth of information on a given topic, with galleries, lists, sequences, facts, timelines, and much more, while every topic is illustrated with up to 100 photos, graphics, and illustrations.</p><p>Perfect for gift giving, or adding to any home or school library, <i>Picturepedia</i> is a stimulating quick-reference that kids will come back to time and time again.</p>",DK Publishing,Reference,1465438289
45,Between Fathers and Daughters: Enriching and Rebuilding Your Adult Relationship,http://ecx.images-amazon.com/images/I/41tt-9AV3vL.jpg,"<div><DIV>At last! A no-nonsense, entertaining, and insightful book for dads and daughters who want more from their relationship--or who want to understand and rebuild it on an adult level. Dr. Linda Nielsen addresses the questions that daughters and dads regularly ask her--and a lot more. Based on two decades of work with hundreds of dads and daughters, BETWEEN FATHERS AND DAUGHTERS summarizes cutting-edge research in clear language and offers compelling stories about real people--including well-known celebrities. With candor and humor, BETWEEN FATHERS AND DAUGHTERS exposes the half-truths, downright lies, and family dynamics that prevent so many dads and daughters from having a more relaxed, more meaningful, more communicative relationship, regardless of age. Explaining why most daughter-dad relationships haven't reached their full potential or have unraveled, Nielsen provides hope as she shows fathers and daughters how to make changes now!",Linda Nielsen,Parenting & Relationships,1581826613
46,Â¡Hoy volarÃ©! (Spanish Edition) (An Elephant and Piggie Book),http://ecx.images-amazon.com/images/I/51UtU3Lz9GL.jpg,<DIV>Gerald is careful. Piggie is not.<BR>Piggie cannot help smiling. Gerald can.<BR>Gerald worries so that Piggie does not have to.<BR><BR>Gerald and Piggie are best friends.,Mo Willems,Children's Books,1484722876
47,Warm Bricks at My Feet: A Danish Immigrant Family's Struggles and Triumphs Through a Uniquely Challenging Period in 20th Century America,http://ecx.images-amazon.com/images/I/51F2QshkZcL.jpg,"By writing my family's memoirs, I have tried to open a window into the life of my family, first generation Danish immigrants who came to America, not to escape an oppressive government or economic crisis but to seek ownership and control of their lives and their future. I describe their love of family as well as their internal and cultural struggles. My parents and siblings faced numerous challenges and uncertainties while raising a large family, struggling through the Great Depression and renewing their determination amidst successes and failures, joys and tragedies. My family wore the stamp of first generation immigrants with all the uncertainties of living in a new country and speaking only a foreign language. Nevertheless, we had the sense that we were special though our home, clothes and other worldly possessions declared otherwise. By some small miracle, we all survived and achieved varying degrees of success, each in our own way. Writing this book has been a journey of heart and mind as I recount stories about my family and myself. Like most children, I seek to understand who I am from my origin and experiences. My parents left indelible marks on me, my siblings and the generations that have followed. May this memoir enlighten and give context and a measure of insight to family and friends and all those who wonder about the experiences of life we share with our fellow travelers everywhere.",Marian Love,Biographies & Memoirs,1491730021
48,Footloose scientist in Mayan America,http://ecx.images-amazon.com/images/I/41RDZFR0SML.jpg,"A book of this grade is generally well kept and is in good shape to read and store. Sturdy spine, all pages intact physically. Solid cover. Might have acceptable shelve wear. Might, rarely, have very limited notes.",Mary Corde Lorang,Travel,B0007DZ2F8
49,A Family Guide To Narnia: Biblical Truths in C.S. Lewis's The Chronicles of Narnia,http://ecx.images-amazon.com/images/I/51KqJ7Zs3DL.jpg,"<p>Do you read <em>The Chronicles of Narnia</em> sensing that the stories are full of biblical parallels, even if you're not always sure what they are or where to find them? This user-friendly companion to The Chronicles of Narnia is written for C. S. Lewis readers like you who want to discover the books' biblical and Christian roots. Read it, and you'll find that this chapter-by-chapter, book-by-book examination of <em>The Chronicles</em> will widen your spiritual vision.</p>",Christin Ditchfield,Literature & Fiction,1581345151
50,Make it Paleo: Over 200 Grain Free Recipes For Any Occasion,http://ecx.images-amazon.com/images/I/51AXy%2B8myoL.jpg,"Transitioning from conventional foods to a grain-free Paleo lifestyle can be a daunting proposition to most people. Hayley Mason and Bill Staley, authors of <i>The Food Lovers Primal Palate,</i> show you how easy it is to take any dish and <i>Make it Paleo!</i> Adapted from Chinese, French, Mexican and classic American meals, the over 200 mouthwatering recipes are each accompanied by vibrant photos and thoughtful notes to ensure you recreate each dish with ease.<BR><BR>Beyond its wealth of recipes, <i>Make it Paleo</i> describes fundamental cooking techniques, includes tips for selecting the best ingredients, and chronicles a variety of menus for holidays and special occasions. Hayley and Bill demonstrate how to make cooking gourmet Paleo meals a carefree affair for everyone, from a kitchen rookie to a seasoned chef. <i>Make it Paleo</i> is filled with meals that all lovers of great food will enjoy, whether they follow a grain-free lifestyle or not.",Bill Staley,"Cookbooks, Food & Wine",1936608863
51,Grafomaniatics. Â¿Te atreves a descubrir los secretos de tu letra? (Spanish Edition),http://ecx.images-amazon.com/images/I/51A9MFO-BEL.jpg,"De la mano de Fernanda Centeno conoce qu&#233; es la grafolog&#237;a y c&#243;mo aplicarla en todos los aspectos de tu vida. Ya sea para optimizar tu desempe&#241;o en el trabajo, mejorar tu salud, construir relaciones duraderas o encontrar el amor.<br><br>La grafolog&#237;a puede ayudarte en cualquier situaci&#243;n, as&#237; como facilitar el autoconocimiento y la mejora continua de manera pr&#225;ctica y sencilla. Grafomaniatics es una herramienta pr&#225;ctica y &#250;til que te llevar&#225; de la mano para descubrir qui&#233;n eres, cu&#225;l es tu personalidad, c&#243;mo reaccionas ante ciertas situaciones, c&#243;mo te percibes, qu&#233; proyectas y cu&#225;les son tus creencias m&#225;s arraigadas.<br><br>ENGLISH DESCRIPTION<br><br>Let Fernanda Centeno introduce you to the secrets of graphology: what it is and how to apply it in all aspects of your life, whether it be to optimize your professional development, improve your health, construct lasting relationships, or find love. Graphology can help you in any situation, as well as facilitate your self-awareness and self-improvement in a practical, simple way.<br><br>Graphomaniacs is a practical, useful tool that will lead you to discover who you are, what your personality is like, how you react in certain situations, how you perceive yourself, what you project, and what your most deeply rooted beliefs are in terms of health, money, love, sexuality, and more. An indispensable book that will make you see the world in a different way.",Fernanda Centeno,Self-Help,6073135629
52,Philadelphia PopOut Map (PopOut Maps),http://ecx.images-amazon.com/images/I/51nUhOX-ayL.jpg,"Discover the colonial heritage of Philadelphia with the help of this genuinely pocket-sized, pop-up map. Small in size, yet big on detail, this compact, dependable Philadelphia city map will ensure you don't miss a thing. <div><ul>  <b>Includes two pop-up maps </b>covering Historic Philadelphia & Center City </li>  <b>Additional maps</b> covering Museum District, Philadelphia location and transit map are also included</li>  <b>Handy, self-folding tourist map</b> is small enough to fit in your pocket yet offers extensive coverage of the city in an easy-to-use format </li>  <b>Thorough street index</b> is also featured and cross-referenced to the map so you can easily find your destination </li>  <b>Hotels, restaurants, stores and attractions </b>are all included </li> </ul> ",,Travel,1845879627
53,"Beat Osteoporosis with Exercise: A Low-Impact Program for Building Strength, Increasing Bone Density and Improving Posture",http://ecx.images-amazon.com/images/I/51cyJCT-REL.jpg,"<DIV><STRONG>PREVENT BONE LOSS AND DECREASE THE RISK OF INJURY WITH THIS FULLY-ILLUSTRATED WORKOUT GUIDE</STRONG><BR><BR>As you get older, osteoporosis is a big concern. Luckily, there are things you can do to keep it from adversely affecting your life. Featuring more than 100 step-by-step exercises divided into detailed fitness plans, <EM>Beat Osteoporosis with Exercise</EM> guarantees that, regardless of your current fitness level, you can radically improve all aspects of your health, including:<BR><BR><STRONG>&bull; Preventing bone loss<BR>&bull; Increasing mobility<BR>&bull; Avoiding fractures<BR>&bull; Building strength<BR>&bull; Lowering risk of injury<BR>&bull; Improving balance<BR>&bull; Fixing posture</STRONG><BR><BR>As these exercises become a regular habit, you’ll have an improved and sustainable quality of life while engaging in your favorite physical activities, such as golf, hiking, fishing, tennis or even salsa dancing. This book's safe, age-appropriate, customizable approach to exercise offers stability to your bones while lowering risk of injury.",Karl Knopf,"Health, Fitness & Dieting",1612435556
54,Military Airplanes (Military Machines),http://ecx.images-amazon.com/images/I/51qL%2BL-yzsL.jpg,The military uses airplanes to fight battles from the air. Read to find out about the militarys defenses in the sky.,Melissa Abramovitz,Children's Books,142967881X
55,Mindful Child Custody: Thinking Outside the Child Custody Box 10 Family Court Secrets Revealed,http://ecx.images-amazon.com/images/I/31D9u7MY7JL.jpg,"<p><i>Mindful Child Custody</i> provides a new compass for divorced parents navigating the murky waters of child custody litigation in the face of the increasing erosion of their constitutional rights.</p> <p>Based on over one-thousand child custody cases from throughout the United States, this book will empower you to take on the corrupted system armed with the latest scientific research and forensic science relating to the crucial bond between child and parent—both maternal and paternal.</p> <p>As author Herman Gill, PhD, a specialist in early childhood attachment and development, points out, the need for emotional bonding is a psychological imperative and biological necessity so important that human evolution—and civilization itself—couldn’t have made it this far without it.</p> <p>Making the case that only when solid forensic evidence of parental harm can be presented should a parent’s rights be denied, he eviscerates the court’s use of persons other than parents in making major decisions for their child, forced separations, and thwarted parental upbringing of children as harmful in and of themselves.</p> <p>A devastating critique of the present child custody judicial practices, this book offers divorced parents a new approach and calls for a reform, a revolution, and most importantly, an awakening!</p>",Herman Gill Ph.D,Law,1515027139
56,Finding Your True North: A Bullied Teen's Journey of Hope,http://ecx.images-amazon.com/images/I/517MyJ-O7%2BL.jpg,"One in four students is bullied every day. Fourteen-year-old Charlie has suffered repeatedly from other kids making fun of him. Add to that the fact that he lives in a dysfunctional family with an alcoholic father who constantly berates him, and it makes for a life of low self-worth. So he decides to escape his misery by running away. Thinking that it will solve all of his problems, he embarks on a journey of self-discovery in the small town of Tanner, while learning life-changing, soul-searching lessons from the residents.",Thomas A. Russell,Teen & Young Adult,1312623195
57,Animal Behavior for Shelter Veterinarians and Staff,http://ecx.images-amazon.com/images/I/51p-nuyY-FL.jpg,"<p><b>Animal Behavior for Shelter Veterinarians and Staff</b> presents and evaluates the available research and programs that address both animal and human behaviors associated with the intake, management and rehoming of dog and cats.</p><ul> Introductions to dog and cat behavior relevant to any animal professional</li> Reviews behavioral reasons for the relinquishment of dogs and cats</li> Describes intake and assessment protocol, shelter design, training and enrichment programs that reduce stress and enhance behavioral well-being</li> Concepts to improve the adoption process and support the human-animal bond post-adoption</li></ul>",,Medical Books,1118711114
58,"Bankruptcy Basics: A Step-by-step Guide for Pro Bono Attorneys, General Practitioners, and Legal Services Offices",http://ecx.images-amazon.com/images/I/51HJbcYoT5L.jpg,"<p>Everything you need to file your first case, a great introduction for those starting a bankruptcy practice, and an essential resource for paralegals under an attorney's supervision:</p>

&bull; What you need to know about attorney responsibilities and counseling debtors<br>
&bull; How to complete the initial forms; instructions for every stage of a bankruptcy; model pleadings; client questionnaire and handouts; and more<br>
&bull; Key bankruptcy concepts and overviews of chapters 7 and 13<br>

<p><b>Companion website updated for 2013</b></p>

&bull; Software to compute key look-back dates<br>
&bull; Scores of sample pleadings in Word format<br>
&bull; Other tools to handle a chapter 7 or 13 case

<p>""By far the best book for volunteer attorneys and other lawyers taking on their first bankruptcy and also for those building a successful consumer practice.""<br>
-- Joanna Allison, Esq., Coordinator, Bankruptcy Assistance Project, Volunteer Lawyers Project of the Boston Bar Assn.</p>",John Rao,Law,1602481229
59,"The Everything Wheat-Free Diet Cookbook: Simple, Healthy Recipes for Your Wheat-Free Lifestyle",http://ecx.images-amazon.com/images/I/518PzfC9NML.jpg,"<b>You'll never miss the wheat!</b><BR><BR>Today's supermarket is full of overprocessed wheat products that can leave you feeling tired, bloated, and uncomfortable. And grains have been linked to chronic inflammation, which is in turn linked to arthritis, allergies, cardiovascular disease, and even cancer. Nutritionist <b>Lauren Kelly</b> shows you just how easy it is to cook healthy, wheat-free meals without sacrificing flavor, with recipes like:<BR><ul> The best grain-free banana bread ever</li> Sicilian eggplant rolls</li> Fiesta lime lentil salad</li> Sesame-crusted chicken breasts</li> Scalloped potatoes with leeks and proscuitto</li> Hot and spicy turkey meatballs</li> Sausage and asparagus risotto</li> Crab cakes with garlic aioli sauce</li> Marinated spicy beef and baby spinach</li> Classic polenta with herbs and parmesan</li> Tropical fruit salsa with brown rice chips</li> Dark chocolate coconut scones</li></ul><BR> Whether you have a wheat allergy, an intolerance to wheat, or you just want to cut out inflammation-causing foods from your diet, <i>The Everything Wheat-Free Diet Cookbook</i> gives you 300 delicious, easy, wheat-free ideas for any meal.",Lauren Kelly,"Cookbooks, Food & Wine",1440556806
60,Mysteries Unwrapped: The Secrets of Alcatraz,http://ecx.images-amazon.com/images/I/515cRrH85fL.jpg,"<DIV><DIV>When most people hear the name Alcatraz, the first thing they think of is the escape-proof penitentiary that housed America&#8217;s toughest criminals. But the small island known as &#147;The Rock&#8221; has a long and fascinating history. Since its discovery in 1775, Alcatraz has also served as a fortress to protect the western United States from invasion, a Civil War-era military prison, and a symbol of defiance for American Indians in the 1960s. Today, it has become a national park. With this book, young readers will go back to the island&#8217;s humble beginnings and follow its transformations through the years. They&#8217;ll meet the legendary Birdman and other notorious prisoners, learn about some famous &#147;great escapes,&#8221; and more.",Susan Sloate,Children's Books,140273591X
61,NAPOLEON HILL: The Complete Rare Teachings of Napoleon Hill (Engineering),http://ecx.images-amazon.com/images/I/51%2B--NP2-bL.jpg,<div><b>*** Page Numbers with detailed Table of Contents now Included!***</b>,Patrick Doucette,Science & Math,1484053974
