,Title,Images,Summary,Aurthor,Category,ID
27,The Illustrated Man,http://ecx.images-amazon.com/images/I/61JF9IsfUQL.jpg,"Ray Bradbury brings wonders alive. A peerless American storyteller, his oeuvre has been celebrated for decades-from the Martian Chronicles and Fahrenheit 451 to Dandelion Wine and Something Wicked This Way Comes.<br /><br />The Illustrated Man is classic Bradbury-a collection of tales that breathe and move, animated by sharp, intaken breath and flexing muscle. Here are eighteen startling visions as keen as the tattooist's needle and as colorful as the inks that indelibly stain the body.<br /><br />The images, ideas, sounds, and scents that abound in this phantasmagoric sideshow are provocative and powerful: the mournful cries of celestial travelers cast out cruelly into a vast, empty space of stars and blackness; the sight of grey dust settling over a forgotten outpost on a road that leads nowhere; the pungent odor of Jupiter on a returning father's clothing. Here living cities take their vengeance, technology awakens the most primal natural instincts, Martian invasions are foiled by the good life and the glad hand, and dreams are carried aloft in junkyard rockets.<br /><br />Bradbury's The Illustrated Man is a kaleidoscopic blending of magic, imagination, and truth, widely believed to be one of the grandmaster's premier accomplishments: as exhilarating as interplanetary travel, as maddening as a walk in a million-year rain, and as comforting as simple, familiar rituals on the last night of the world.<br /><br />The stories contained in The Illustrated Man are ""Prologue: The Illustrated Man,"" ""The Veldt,"" ""Kaleidoscope,"" ""The Other Foot,"" ""The Highway,"" ""The Man,"" ""The Long Rain,"" ""The Rocket Man,"" ""The Last Night of the World,"" ""The Exiles,"" ""No Particular Night or Morning,"" ""The Fox and the Forest,"" ""The Visitor,"" ""The Concrete Mixer,"" ""Marionettes, Inc. ,"" ""The City,"" ""Zero Hour,"" ""The Rocket,"" and ""The Illustrated Man.""",Ray Bradbury,Science Fiction & Fantasy,1400168260
28,"Barron's Writing Workbook for the NEW SAT, 4th Edition",http://ecx.images-amazon.com/images/I/51MTT5nAgBL.jpg,"This thoroughly revised edition of <i>Barron's Writing Workbook for the New SAT</i> prepares students for the writing sections of the newly redesigned SAT: THE SAT WRITING AND LANGUAGE TEST and THE SAT ESSAY. It includes:<br><BR><br><b>Writing and Language Test</b><BR><LI>Overview of the new test <LI>Sample multiple-choice questions that test students' skills in editing and revising the text of four prose passages <br><LI>Three complete W & L Tests for practice with all answers explained<BR> <br> SAT Essay<BR><br><LI>Overview of the new ""optional"" essay <br><LI>Preparing to write the essay:: What students need to know, including how to annotate prose passages <br><LI>Practice in reading and analyzing a ""source"" -- the prose passage that students must write about<br><LI>Numerous ""Mini-Workouts"" for sharpening essay writing skills <br><LI>Samples of student-written SAT Essays for evaluation <br><LI>Instruction in drafting and editing your essay<LI>Guidance in completing the essay within the SAT's time limitation<LI>Five prose passages for essay-writing practice<LI>Criteria for analyzing and scoring SAT essays",George Ehrenhaft Ed. D.,Test Preparation,1438006233
29,Lonely Planet Samoan Islands & Tonga (Multi Country Guide),http://ecx.images-amazon.com/images/I/51SuFePrXsL.jpg,"Talofa and malo e lelei! Basking in the waters of the South Pacific, the Tongan and Samoan islands offer adventures aplenty and a chance to avoid the sun-seeking hordes. Swim with whales off Vava’u or discover the ruins of Ta’u. Luxuriate in swish resorts or kick back in beachside huts. Tap into Apia’s buzzing café scene or Nuku’alofa’s kava ceremonies. Whatever your island scene, take this bestselling guide along!<BR><BR><B>A Triple Treat</B> of Polynesian destinations: the kingdom of Tonga, the independent nation of Samoa, and the territory of American Samoa<BR><BR><B>Eliminate The Guesswork</B> – whatever your accommodation choice, make your decision based on honest, opinionated reviews<BR><BR><B>Learn The Local Lore</B> with expert culture, history and other background chapters written by authors who have actually lived here<BR><BR><B>Get Active</B> – or not: everything you need to know about snorkelling, diving, sailing, hiking and more<BR>",Paul Smitz,Travel,1741045231
30,Dead Hobo Tales (The Lifting of the Veil) (Volume 2),http://ecx.images-amazon.com/images/I/519Z6TG5-5L.jpg,"The Lifting of the Veil. Book Two. Continuing the adventures of the Variants where The Variant Mythos left off. With the events of prom night still weighing on his mind, John Cohen struggles with his involvement with the Variants, his new relationship with Carmen, and as partner to a dangerous homeless assassin. When FBI special agent Darien Blackwell shows up at his door one morning he finds even more complications in the form of a deadly mentalist that threatens the city of New Orleans. As some of Edward Drake’s secrets come to light, Carmen harbors a life-changing secret of her own that will have an unexpected effect on Dorothy. Meanwhile, as the princess continues her communication with John, she suddenly finds herself on an unexpected adventure with Edward. This leaves John on an adventure of his own in her palace. Polaris finds himself confronting an ancient terran prophecy that may be unfolding on Earth and it offers a glimpse of the horrors that may be to come. And a singer with a questionable past has a message for John Cohen, a message that someone will kill for.",Jack Cochran,Science Fiction & Fantasy,1517766249
31,Mauritius North: A Souvenir Koleksi Foto werna karo tulisan cathetan (Foto Album) (Volume 11) (Javanese Edition),http://ecx.images-amazon.com/images/I/51vdk1BWByL.jpg,"Mauritius iku sawijining pulo tropis dumunung ing Samudra India. Kanthi gunung wonten ing tlatah vulkanik lan Sandy pesisir diubengi dening Koral reefs iki Souvenir Koleksi Kding Photographs portrays lan sawetara menarik wisata lan aktivitas diakses saka pesisir lor pulo. Kalebu Peta Mauritius, Banyan wit, Chinatown, buta Amazonica lilies banyu, Grande Baie (Bay), Hills njaba Port Louis, statement hak manungsa Rama Yusuf Wresinski, le Caudan waterfront, Lotus kembang, model prau bengkel, Pamplemousses kesuwur Kebon botani, woh bakul lan werna vendor, Port Louis, Capital Mauritius, blanja wilayah, Trou Aux Biches; [Coordinates: 20:17 Kidul, 57:33 Timur Madagaskar, Afrika] [Jawa Edition]",Llewelyn Pritchard MA,Travel,1495998762
32,How Things Work: The Physics of Everyday Life,http://ecx.images-amazon.com/images/I/51wTwSmK0DL.jpg,"<b><i>How Things Work Fifth Edition</i></b> uses familiar objects to introduce basic physics concepts, demonstrating the excitement and relevance to professionals in a variety of technical fields. Because its structure is defined by real-life examples, this book explores concepts as they are needed and then revisits them later on when they reappear in other objects. It integrates case studies throughout the chapters to easily convey an understanding and appreciation for physics. For example, discussions of skating, falling balls, and bumper cars are included to explain the Laws of Motion. Air conditioners and automobiles are used to explore thermodynamics. Engineers, architects, and professionals in other technical fields will benefit from the material that connects science to our everyday world.",Louis A. Bloomfield,Science & Math,1118237765
33,Calvin,http://ecx.images-amazon.com/images/I/41jc3rr2k%2BL.jpg,"<P>During the glory days of the French Renaissance, young John Calvin (1509-1564) experienced a profound conversion to the faith of the Reformation. For the rest of his days he lived out the implications of that transformation&#8212;as exile, inspired reformer, and ultimately the dominant figure of the Protestant Reformation. Calvin&#8217;s vision of the Christian religion has inspired many volumes of analysis, but this engaging biography examines a remarkable life. Bruce Gordon presents Calvin as a human being, a man at once brilliant, arrogant, charismatic, unforgiving, generous, and shrewd. </P><P>The book explores with particular insight Calvin&#8217;s self-conscious view of himself as prophet and apostle for his age and his struggle to tame a sense of his own superiority, perceived by others as arrogance. Gordon looks at Calvin&#8217;s character, his maturing vision of God and humanity, his personal tragedies and failures, his extensive relationships with others, and the context within which he wrote and taught. What emerges is a man who devoted himself to the Church, inspiring and transforming the lives of others, especially those who suffered persecution for their religious beliefs.",F. Bruce Gordon,Christian Books & Bibles,030017084X
34,Paul Hollywood's Pies and Puds (Shakespeare Today),http://ecx.images-amazon.com/images/I/513FCSeX5tL.jpg,"<p>There is nothing quite like the smell of a scrumptious steak and ale pie cooking in the oven. There perhaps isn't anything better than the first taste of a caramel and coffee éclair. From Britain's favourite expert baker comes a mouth-watering new book about two of our nation's obsessions: pies and puddings.</p><p>Paul Hollywood puts his signature twist on the traditional classics, with easy-to-follow, foolproof and tantalising recipes for meat and potato pie, pork, apple and cider pie, lamb kidney and rosemary suet pudding, sausage plait and luxury fish pie. He will show you how to create inventive dishes such as chicken and chorizo empanadas, chilli beef cornbread pies and savoury choux buns. If that isn't enough, here you will find his recipe for the Queen of puddings, as well as spiced plum pizza, chocolate volcanoes and apple and Wensleydale pie. There are also regional recipes like Yorkshire curd tart and the Bedfordshire clanger, and a step-by-step guide to all the classic doughs from rich shortcrust to choux pastry.</p><p><i>Paul Hollywood's Pies and Puds</i> is simply a must-have. Whether you're a sweet or a savoury person, a keen novice or an expert baker: it's time to get baking pies and puds.</p>",Paul Hollywood,"Cookbooks, Food & Wine",1408846438
35,Never Enough: Donald Trump and the Pursuit of Success,http://ecx.images-amazon.com/images/I/51C4Vkw0E2L.jpg,"<p>In the summer of 2015, as he vaulted to the lead among the many GOP candidates for president, Donald Trump was the only one dogged by questions about his true intentions. This most famous American businessman had played the role of provocateur so often that pundits, reporters, and voters struggled to believe that he was a serious contender. Trump stirred so much controversy that his candidacy puzzled anyone who applied ordinary political logic to the race. But as Michael D'Antonio shows in <i>Never Enough</i>, Trump has rarely been ordinary in his pursuit of success and his trademark method is based on a logic that begins with his firm belief that he is a singular and superior human being.</p><p>As revealed in this landmark biography, Donald Trump is a man whose appetite for wealth, attention, power, and conquest is practically insatiable. Declaring that he is still the person he was as a rascally little boy, Trump confesses that he avoids reflecting on himself ""because I might not like what I see"" and he believes ""most people aren't worthy of respect.""</p><p>A product of the media age and the Me Generation that emerged in the 1970s, Trump was a Broadway showman before he became a developer. Mentored by the scoundrel attorney Roy Cohn, Trump was a regular on the New York club scene and won press attention as a dashing young mogul before he had built his first major project. He leveraged his father's enormous fortune and political connections to get his business off the ground, and soon developed a larger-than-life persona. In time, and through many setbacks, he made himself into a living symbol of extravagance and achievement. </p><p>Drawing upon extensive and exclusive interviews with Trump and many of his family members, including all his adult children, D'Antonio presents the full story of a truly American icon, from his beginnings as a businessman to his stormy romantic life and his pursuit of power in its many forms. For all those who wonder: Just who is Donald Trump?,<i> Never Enough</i> supplies the answer. He is a promoter, builder, performer and politician who pursues success with a drive that borders on obsession and yet, has given him, almost everything he ever wanted.</p>",Michael D'Antonio,Business & Money,1250042380
36,"Somebody, Please Tell Me Who I Am",http://ecx.images-amazon.com/images/I/51XS9MpxmKL.jpg,"<B >A teen soldier returns home from Iraq forever changed in this poignant and pivotal novel that <I >Kirkus Reviews </I>calls &#8220;as illuminating as a hand grenade, and just as powerful.&#8221;</B><BR><BR>Ben lives a charmed life&#8212;effortlessly landing the lead in the high school musical, dating the prettiest girl in school. When he decides to enlist in the army after 9/11, no one thinks he&#8217;ll be in real danger. But his decision has devastating consequences: His convoy gets caught in an explosion, and Ben ends up in a coma for two months. When he wakes up, he doesn&#8217;t know where he is&#8212;or remember anything about his old life. His family and friends mourn what they see as a loss, but Ben perseveres. And as he triumphs, readers will relate to this timely novel that pairs the action and adventure of the best war stories with the emotional elements of struggle and transformation.",Harry Mazer,Teen & Young Adult,1416938966
37,Call Sign Eagle One,http://ecx.images-amazon.com/images/I/51sqxpUL5KL.jpg,"Police Lieutenant Joe Santoro could never have imagined that he would fly an ultralight airplane or be part of a program that would become a world-first for aviation. Lieutenant Santoro didn’t even like to fly as a passenger in a commercial airplanes, let alone pilot a single-seat ultralight for police air support. This is the true story of the Monterey Park police department’s Ultralight Aircraft Police Patrol Program, the first of its kind in the world. It helped chase down many criminals and ultimately resulted in two Monterey Park ultralights hanging from the ceiling of the Smithsonian Air and Space Museum’s Steven F. Udvar-Hazy Center, alongside other famous airplanes like the SR-7 Blackbird, the Enola Gay, the Concorde, and the space shuttle Discovery. This story includes moments of sheer terror—engine failures, crashes, and the exceptional courage of our police officers as they trained to become pilots and then fought crime at 1,000 feet in the air.",Mr Joe Santoro,Sports & Outdoors,1515385981
38,"Veterinary Oncology Secrets, 1e",http://ecx.images-amazon.com/images/I/513Y1XMQW8L.jpg,"Written in the popular question-and-answer format of The Secrets Series®, this handy resource provides an in-depth overview of the latest diagnostic and therapeutic approaches to small animal veterinary oncology. Coverage includes such important areas as: skin, endocrine, skeletal, respiratory, and ocular tumors; mast cell disease; FeLV; vaccine-associated sarcomas; and much more.",Robert C. Rosenthal DVM  PhD  Dipl ACVIM  Dipl ACVR,Medical Books,1560534168
39,DK Eyewitness Travel Guide: Chicago,http://ecx.images-amazon.com/images/I/51H8S81jesL.jpg,"<p><b><i>DK Eyewitness Travel Guide: Chicago</i></b> will lead you through the best attractions the city has to offer, including fully illustrated coverage of all the major sights from Lincoln Park Zoo to the Art Institute of Chicago. The fully updated guide includes unique illustrated cutaways, floor plans, and reconstructions of the city's architecture, plus a pull-out city map clearly marked with attractions from the guidebook and an easy-to-use street index.</p> <p><b><i>DK Eyewitness Travel Guide: Chicago</i></b> provides all the insider tips you need, whether you're shopping on Michigan Avenue, enjoying the rides at the Navy Pier funfair, taking in the view from the Sears Tower, or exploring the areas outside the city. Detailed listings will guide you to hotels, restaurants, bars, nightlife, and shopping for all budgets. Street maps to guide you through the city, with reliable information on getting around.</p> <p>With hundreds of full-color photographs, hand-drawn illustrations, and custom maps that brighten every page, <b><i>DK Eyewitness Travel Guide: Chicago</i></b> truly shows you this city as no one else can.</p>",DK Publishing,Travel,1465412077
40,Moto GP Yesterday & Today,http://ecx.images-amazon.com/images/I/51jhJtNWyUL.jpg,"<DIV>Moto GP has never been seen like this before! This stunningly unique visual study of the world&#39;s leading motorcycle championship features vintage photographs alongside related images from the modern era. Offering a fresh perspective, it covers the legendary champions, famous tracks, great races, and life away from the track. Written by leading Moto GP journalist Michael Scott, <I>Moto GP Yesterday &amp; Today</I> reveals how the details of the sport have changed over the years, but also how many fundamentals have remained unaltered.<BR />",Michael Scott,Arts & Photography,1780976054
41,The Ultimate Girls' Guide to Understanding and Caring for Your Body,http://ecx.images-amazon.com/images/I/719Y%2BGR%2Bp%2BL.jpg,"<div>Adolescence can be a tricky time. From periods and puberty to health and hygiene to fashion and beauty, every preteen girl has questions she&#8217;d like answered. The problem is many girls feel embarrassed or aren&#8217;t sure who to ask. This book was written by two teenage sisters, Isabel Lluch, age 16, and Emily Lluch, age 13. They know firsthand the issues that most girls experience during puberty. In addition, this book offers valuable information from noted health care, nutrition, fitness, dental, psychology, and beauty experts.<BR><BR>The Ultimate Girls&#8217; Guide offers insight and advice on every important topic in a preteen girl&#8217;s life, including sections on makeup, acne, body hygiene, bras, periods, healthy eating, sports and fitness, and even stress, depression and eating disorders. Girls will appreciate the expert advice, offered in a straightforward, easy-to-understand manner, and will happily identify with the young authors and their peers. Additionally, each chapter is filled with tips and fun facts that can be used on a daily basis.<BR><BR>Isabel and Emily answer questions about puberty and changes from 9 girls of different backgrounds and ethnicities. More than 120 pages of beautiful, color illustrations make this book the perfect gift for preteen girls and their parents, as well as a great resource for schools, nurses, sex education program, health classes, and more.<BR>",Isabel B. Lluch,Teen & Young Adult,193438643X
42,On diseases of menstruation and ovarian inflammation,http://ecx.images-amazon.com/images/I/51PwqjXJEtL.jpg,"On diseases of menstruation and ovarian inflammation. In connexion with sterility, pelvic tumours, & affections of the womb. This book, ""On diseases of menstruation and ovarian inflammation"", by Edward John Tilt, is a replication of a book originally published before 1850. It has been restored by human beings, page by page, so that you may enjoy it in a form as close to the original as possible.",Edward John Tilt,"Health, Fitness & Dieting",5518985495
43,Finite Element Simulations with ANSYS Workbench 15,http://ecx.images-amazon.com/images/I/51vFsxldeUL.jpg,"<p>Finite Element Simulations with ANSYS Workbench 15 is a comprehensive and easy to understand workbook. It utilizes step-by-step instructions to help guide you to learn finite element simulations. Twenty seven real world case studies are used throughout the book. Many of these cases are industrial or research projects you build from scratch. An accompanying DVD contains all the files you may need if you have trouble. Relevant background knowledge is reviewed whenever necessary. To be efficient, the review is conceptual rather than mathematical, short, yet comprehensive. Key concepts are inserted whenever appropriate and summarized at the end of each chapter. Additional exercises or extension research problems are provided as homework at the end of each chapter. </p> <p>A learning approach emphasizing hands-on experiences spreads through this entire book. A typical chapter consists of 6 sections. The first two provide two step-by-step examples. The third section tries to complement the exercises by providing a more systematic view of the chapter subject. The following two sections provide more exercises. The final section provides review problems. </p> <p><b>Table of Contents</b></p> 1. Introduction <br>2. Sketching <br>3. 2D Simulations <br>4. 3D Solid Modeling <br>5. 3D Simulations <br>6. Surface Models <br>7. Line Models <br>8. Optimization <br>9. Meshing <br>10. Buckling and Stress Stiffening <br>11. Modal Analyses <br>12. Transient Structural Simulations <br>13. Nonlinear Simulations <br>14. Nonlinear Materials <br>15. Explicit Dynamics <br>Index",Huei-Huang Lee,Engineering & Transportation,1585039071
44,"Naruto (3-in-1 Edition), Vol. 2: Includes vols. 4, 5 & 6",http://ecx.images-amazon.com/images/I/61kajXlNtML.jpg,"The world&#8217;s most popular ninja comic just got bigger with this collection of Naruto volumes!<BR><BR>Reads R to L (Japanese Style), for audiences T <BR> Containing volumes 4, 5 and 6 of Naruto! In the Land of Waves, Naruto and his teammates Sakura and Sasuke, along with their sensei Kakashi, struggle to protect the bridge builder Tazuna and his family from Gato's hired thugs. When one of Naruto's friends falls in battle, Naruto is faced with the most difficult choice of his life. How far will he go to protect his friends? And does he have what it takes to be a hero?",Masashi Kishimoto,Teen & Young Adult,142153990X
45,Building Applications on Mesos,http://ecx.images-amazon.com/images/I/51pcA99mkvL.jpg,"<div><p>How can Apache Mesos make a difference in your organization? With this practical guide, you&#8217;ll learn how this cluster manager directs your datacenter&#8217;s resources, and provides real time APIs for interacting with (and developing for) the entire cluster. You&#8217;ll learn how to use Mesos as a deployment system, like Ansible or Chef, and as an execution platform for building and hosting higher-level applications, like Hadoop.</p><p>Author David Greenberg shows you how Mesos manages your entire datacenter as a single logical entity, eliminating the need to assign fixed sets of machines to applications. You&#8217;ll quickly discover why Mesos is the ultimate DevOps tool.</p><ul> Understand Mesos architecture, and learn how it manages CPU, memory, and other resources across a cluster</li> Build an application on top of Mesos with Marathon, a platform for hosting services on Mesos</li> Create new, production-ready frameworks for Mesos</li> Write a custom executor to provide richer interaction between the Mesos scheduler and workers</li> Dive into advanced topics, including the reconciliation process, Docker integration, dynamic reservations, and persistent volumes</li> Learn about today&#8217;s Mesos initiatives that will likely become tomorrow&#8217;s features</li></ul>",David Greenberg,Computers & Technology,149192652X
46,The Gospel According to Job: An Honest Look at Pain and Doubt from the Life of One Who Lost Everything,http://ecx.images-amazon.com/images/I/51BaQFADX-L.jpg,"<p>Anyone who has suffered knows that there is no such thing as ""getting a grip on oneself"" or ""pulling oneself up by the bootstraps. The only bootstrap in the Christian life is the Cross,"" says Mason. ""Sometimes laying hold of the cross can be comforting, but other times it is like picking up a snake.""</p> <p>Job knew this firsthand. From him we learn that there are no easy answers to suffering. That the mark of true faith is not happiness, but rather, having one's deepest passions be engaged by the enormity of God. And through Job we learn the secret of the gospel: that ""mercy is the permission to be human."" The Lord never gave Job an explanation for all he had been through. His only answer was Himself. But as Job discovered, that was enough.</p> <p><em>The Gospel According to Job</em> sensitively brings the reader to this realization, using a devotional commentary format that reminds them that it's all right to doubt, to be confused, to wonder&ndash;in short, to be completely human. But what will heal us and help us endure is a direct, transforming encounter with the living God.</p>",Mike Mason,Christian Books & Bibles,158134449X
47,PEMF - The Fifth Element of Health: Learn Why Pulsed Electromagnetic Field (PEMF) Therapy Supercharges Your Health Like Nothing Else!,http://ecx.images-amazon.com/images/I/51WNDNJfEWL.jpg,"<span id=""caseCorrespondence_25704003355_text"">You probably know that food, water, sunlight, and oxygen are required for life, but there is a fifth element of health that is equally vital and often overlooked: The Earth&rsquo;s magnetic field and its corresponding PEMFs (pulsed electromagnetic fields). The two main components of Earth&rsquo;s PEMFs, the Schumann and Geomagnetic frequencies, are so essential that NASA and the Russian space program equip their spacecrafts with devices that replicate these frequencies. These frequencies are absolutely necessary for the human body&rsquo;s circadian rhythms, energy production, and even keeping the body free from pain. But there is a big problem on planet earth right now, rather, a twofold problem, as to why we are no longer getting these life-nurturing energies of the earth. In this book we&rsquo;ll explore the current problem and how the new science of PEMF therapy (a branch of energy medicine), based on modern quantum field theory, is the solution to this problem, with the many benefits listed below:<br /><br />&bull; eliminate pain and inflammation naturally <br />&bull; get deep, rejuvenating sleep<br />&bull; increase your energy and vitality<br />&bull; feel younger, stronger, and more flexible<br />&bull; keep your bones strong and healthy<br />&bull; help your body with healing and regeneration<br />&bull; improve circulation and heart health<br />&bull; plus many more benefits</span>",Bryant A. Meyers,"Health, Fitness & Dieting",1452579229
48,The (Un)Common Good: How the Gospel Brings Hope to a World Divided,http://ecx.images-amazon.com/images/I/41TAWHSd2%2BL.jpg,"This timely and provocative book shows us how to reclaim Jesus's compelling vision of the common good-impacting not only our politics but also our personal lives, families, churches, neighborhoods, and world. Now in paper with a new preface.",Jim Wallis,Religion & Spirituality,1587433621
49,Soiled Doves: Prostitution in the Early West (Women of the West),http://ecx.images-amazon.com/images/I/512DSP9FN7L.jpg,"Soiled Doves tells the story of the grey world of prostitution and the women who participated in the oldest profession. Colorful, if not socially acceptable, these ladies of easy virtue were a definite part of the early West--wearing ruffled petticoats with fancy bows, they were glamorous and plain, good and ad and many were as wild as the land they came to tame.<br><P>Women like &#34;Molly b'Dam,&#34; Mattie Silks, and &#34;Chicago Joe&#34; blended into the fabric of the American Frontier with an easy familiarity. Others, such as &#34;Sorrel Mike,&#34; escaped through suicide, Lottie John chose marriage and the Chinese slave girls lived a life without hope.</P><br><P>Illustrated with rare photos, this strong book provides a touching insight into the lives of the ladies of the night. Bibliography; sources, included.",Anne Seagraves,Politics & Social Sciences,096190884X
50,Fishing the Local Waters: Gulf Shores to Panama City (Fishing the Local Waters series),http://ecx.images-amazon.com/images/I/416Z-B4eHvL.jpg,"<div>Two local fishermen share their favorite spots and special techniques in this tackle-box sized guide to angling in Florida's gulf coast waters. From inland jaunts to shore fishing to a day trip on a boat, the chapters cover everything a tourist or curious local needs for a fruitful outing. Information on the best bait, tackle, and methods are included, as are important safety tips, maps showing choice fishin' holes, and local recipes for cooking up the catch of the day. LORAN coordinates to more than 50 proven spots to drop a line are included, and a directory of fishing businesses on the Emerald Coast completes this angling guide.<BR>",Jim Hoskins,Travel,1931644497
51,"The Bible: An Introduction, Second Edition",http://ecx.images-amazon.com/images/I/51fDItjSWoL.jpg,"What is the Bible? How did it get to us? Why are translations so different? And what influence has the Bible had on culture? From its very first pages, <i>The Bible: An Introduction, Second Edition</i> offers clear answers to the most basic questions that first-time students and curious inquirers bring to the Bible. <p>Without presuming either prior knowledge of the Bible or a particular attitude toward it, Jerry L. Sumney uses straightforward language to lead the reader on an exploration of the Bible's contents and the history of its writings, showing how critical methods help readers understand what they find in the Bible.</p><p> This second edition offers revised chapters and auxiliary material and new discussions of biblical studies methods and the question of inspiration. Neither polemical nor apologetic, <i>The Bible</i> presents the biblical writings as the efforts of men and women in the past to understand their lives and their world in light of the ways they understood the divine.</p>",Jerry L. Sumney,Christian Books & Bibles,1451469241
52,HBR 20-Minute Manager Boxed Set (10 Books) (HBR 20-Minute Manager Series),http://ecx.images-amazon.com/images/I/515fvdRLSxL.jpg,"<div>You&#8217;ll get up to speed fast on the most essential business skills with this set of concise, practical primers. <B><I>Finance Basics</I></B> explains the fundamentals of corporate finance&#151;and its jargon; <B><I>Running Meetings</I></B> gives you the tools and checklists you need to keep your meetings effective and efficient; <B><I>Presentations</I></B> helps you create and deliver a persuasive performance, fast; <B><I>Managing Projects</I></B> shows you how to set up and execute on a project plan; <B><I>Managing Time</I></B> helps you to figure out where all the minutes of your day are going&#151;and how to get them under control; <B><I>Getting Work Done</I></B> helps you to use each of those minutes more productively; <B><I>Creating Business Plans</I></B> shows you how to present the risks and rewards of your idea; <B><I>Managing Up</I></B> helps you to build your relationship with your boss; <B><I>Delegating Work</I></B> shows you how to hand work off right; and <B><I>Giving Effective Feedback</I></B> teaches you how to make potentially difficult confrontations and turn them into productive conversations. This 10-volume, specially priced boxed set makes a perfect gift for aspiring leaders who are short on time but need advice fast.<BR><BR>Don't have much time? Get up to speed fast on the most essential business skills with <B>HBR's 20-Minute Manager</B> series. Whether you need a crash course or a brief refresher, each book in the series is a concise, practical primer that will help you brush up on a key management topic. Advice you can quickly read and apply, for ambitious professionals and aspiring executives&#151;from the most trusted source in business. Also available as an ebook.<BR>",Harvard Business Review,Business & Money,1633690954
53,"Teaching Reading to Children with Down Syndrome: A Guide for Parents and Teachers (Topics in Down Syndrome) by Oelwein, Patricia Logan published by Woodbine House Inc.,U.S. (1995)",http://ecx.images-amazon.com/images/I/51uVb52plfL.jpg,"Teach your child to read using the author's nationally recognized, proven method. From introducing the alphabet to writing and spelling, the lessons are easy to follow. The many pictures and flash cards included appeal to visual learners and are easy to photocopy!",,"Health, Fitness & Dieting",B00EKYYJ1S
54,Working with an Android 4.4 Tablet for Seniors: Suitable for Tablets from Different Manufacturers (Computer Books for Seniors series),http://ecx.images-amazon.com/images/I/51ac7K42cdL.jpg,"<div>This book covers the basic operations for using an Android 4.4 tablet in an easy, step by step manner. Popular tasks that can be done on a tablet such as sending and receiving email, surfing the Internet, getting directions, and keeping a calendar are fully explained. An Android tablet will contain one or more standard apps (programs) that allow you to view photos, watch videos, and play music. This book will help you learn how to work with all of these apps. You also learn how to search the Play Store for additional free and paid apps that will allow you to accomplish other tasks and activities. For example, there are apps for games, puzzles, newspapers and even photo editing. This book will get you thoroughly acquainted with the most important features and functions of a tablet running Android 4.4.<br /><br /><b>Learn how to:</b><br /><ul> Perform basic operations</li> Connect to a Wi-Fi or mobile data network</li> Surf and email</li> Use apps for a variety of tasks</li> Download and install new apps</li> Work with photos, video and music </li></ul><b>Suitable for:</b><br />All tablets running Android 4.4.<br /><br />There are many companies that make and market tablets. The most popular operating system used on tablets today is the Android operating system. In general, all tablets running Android, from version 4.0 and higher, function in much the same way. Some manufacturers will customize their devices by adapting the design of the home screen. The number and variety of apps available can also vary per tablet. Still the basic operations of an Android tablet and the way in which the apps work are for the most part very similar.",Studio Visual Steps,Computers & Technology,9059053702
55,"Explorer's Guide Phoenix, Scottsdale, Sedona & Central Arizona: A Great Destination (Second Edition)  (Explorer's Great Destinations)",http://ecx.images-amazon.com/images/I/51%2BjbV%2B0riL.jpg,"<p><strong>Among mountains and desert, take in one spectacular natural wonder after another and capture the adventure of Arizona.</strong></p> Imagine all the adventures you’ll have in Arizona― touring the mountains and red deserts, seeing one spectacular natural wonder after another: the Grand Canyon, Organ Pipe Cactus National Monument...Discover the art galleries, museums, resorts, and cuisine that help make Phoenix and Scottsdale such hot destinations. Full-color photographs throughout",Christine Bailey,Travel,1581571186
56,Trick Question: The Clever Game of Quick WitEEServed with a Twist!,http://ecx.images-amazon.com/images/I/513qLs5LTRL.jpg,"Welcome to <em>Trick Question</em>, the party game where things never mean quite what they seem! Every question has a trick up its sleeve, and it's a race to outsmart your friends. Will you grab the <b>US! Totem</b> and solve the riddle yourself, or reach for the <b>THEM! Totem</b> and put the other team in the hot seat? Packed with 400 brainteasers that will keep everyone guessing (and laughing), <em>Trick Question</em> is the next hit board game for clever people!<br><br>Question: What is the difference between here and there?<br>Answer: <em>The letter T</em><br><br>For 3 or more players, ages 14 and up<br><br>Includes: 400 Trick Questions, 2 Trickster Totems, 32 Scoring Tiles, Sand Timer",Forrest-Pruzan Creative,Humor & Entertainment,145213488X
